Date,Curency,Action,Ticker,Price,Qty,Note
11/12/2020,USD,BOT,UMH,14.02,7,
10/26/2020,GBP,BOT,BYG.L,11.06,25,New foregn holding
10/26/2020,EUR,BOT,LI.PA,12.14,40,New foregn holding
10/26/2020,CAD,BOT,BEI-UN.TO,27.56,11,New foregn holding
10/29/2020,EUR,BOT,LI.PA,10.77,17,
11/19/2020,USD,SLD,VOD,16.285,-7,decreased VOD position realized gain (+18%)
11/19/2020,USD,SLD,OXY,13.24,-15,decreased OXY position realized gain (+3%)
11/20/2020,USD,SLD,OXY,13.475,-15,decreased OXY position realized gain (+5%)
11/23/2020,USD,SLD,OXY,15.71,-15,decreased OXY position realized gain (+22%)
11/24/2020,USD,SLD,OXY,16.755,-15,decreased OXY position realized gain (+30%)
11/25/2020,CAD,BOT,REI-UN.TO,18.18,26,New foregn holding
11/30/2020,USD,BOT,STAG,29.71,7,New holding
12/9/2020,USD,SLD,OXY,19.59,-17,Closed OXY position realized gain (52%)
12/9/2020,USD,BOT,STAG,30.34,10,Increased position funded from WBA sale
1/11/2021,USD,SLD,WBA,45.73,-4,Decreased WBA position realized gain (+8.6%)
1/11/2021,USD,BOT,STOR,30.81,6,Increased position funded from WBA sale
3/4/2021,USD,SLD,TEF,4.58,-175,Decreased TEF position realized gain (0.0%)
3/5/2021,USD,BOT,UNIT,10.95,46,New position funded from TEF sale
3/8/2021,USD,SLD,UBA,17.32,-103,Closed UBA position realized gain (+76%)
3/8/2021,USD,BOT,UNIT,11.088,30,Increased position funded from UBA sale
4/5/2021,USD,BOT,VICI,29,10,New position
4/5/2021,USD,BOT,WPC,72.5,5,New position
4/5/2021,USD,BOT,KOF,46.89,5,New position
4/9/2021,USD,BOT,VICI,28.78,5,Increase position
4/9/2021,USD,BOT,WPC,70.54,2,Increase position
4/9/2021,USD,BOT,UNIT,10.68,9,Increase position
5/12/2021,USD,BOT,O,65.01,8,New position
5/12/2021,USD,BOT,STOR,32.74,7,Increase position
5/12/2021,USD,BOT,VICI,29.88,7,Increase position
6/17/2021,USD,SLD,KGC 19SEP21 6 P,0.24,-1,Sell put option KGC @ 6.00 09/17
6/17/2021,USD,SLD,AGI 17SEP21 7.5 P,0.3,-1,Sell put option AGI @ 7.50 09/17
6/17/2021,USD,SLD,AGI 16JUL21 7.5 P,0.06,-1,Sell put option AGI @ 7.50 07/16
6/17/2021,USD,BOT,AGI,8.425,60,New position
6/17/2021,USD,BOT,KGC,6.87,146,New position
6/17/2021,USD,BOT,BTG,4.685,220,New position
6/18/2021,USD,BOT,MPW,19.885,30,Increase position
6/18/2021,USD,BOT,KGC,6.445,30,Increase position
6/18/2021,USD,BOT,AGI,7.815,25,Increase position
6/18/2021,USD,BOT,BTG,4.385,50,Increase position
8/4/2021,USD,BOT,VICI,30.015,10,Increase position
8/10/2021,USD,BOT,EQX,6.179,50,New position
8/10/2021,USD,BOT,AGI,7.465,27,Increase position
8/10/2021,USD,BOT,KGC,5.97,33,Increase position
8/10/2021,USD,BOT,BTG,3.76,53,Increase position
8/18/2021,USD,SLD,TEF,5.01,-30,Decrease position
8/27/2021,USD,SLD,TEF,5.045,-30,Decrease position
9/9/2021,USD,SLD,SRC,51.33,-54,Decrease position
9/9/2021,USD,BOT,KGC,5.83,50,Increase position
9/9/2021,USD,BOT,BTG,3.715,50,Increase position
9/9/2021,USD,BOT,VICI,29.9,25,Increase position
9/10/2021,USD,SLD,LAC,23.12,-23,Decrease position
9/10/2021,USD,SLD,SQM,56.26,-3,Decrease position
9/15/2021,USD,SLD,LAC,24.55,-15,Decrease position
9/15/2021,USD,SLD,SQM,57.2675,-3,Decrease position
10/8/2021,USD,SLD,EOG,90.62,-10,Decrease position
10/12/2021,USD,SLD,LAC,24.25,-10,Decrease position
10/20/2021,USD,SLD,EOG,93.04,-7,Decrease position
10/14/2021,USD,SLD,WBA,50.98,-19,Decrease position
11/15/2021,USD,BOT,FSM,3.77,500,New position bet na obnovenie povolenia tazby v mexiku od SEMARNATU
11/22/2021,USD,SLD,IRT,25.36,-108,Closed IRT position realized gain (+113%)
12/1/2021,USD,BOT,BTG,3.81,130,Increase position
12/2/2021,USD,BOT,BTG,3.66,137,Increase position
12/1/2021,USD,BOT,EPR,44.26,10,Increase position
12/1/2021,USD,BOT,FSM,3.28,150,Increase position
12/2/2021,USD,BOT,FSM,3.14925,160,Increase position
12/2/2021,USD,BOT,KGC,5.72,87,Increase position
1/11/2022,USD,SLD,EOG,102,-20,Closed EOG position
1/18/2022,USD,BOT,COIN,221.625,3,New position
1/18/2022,USD,BOT,FPI,12.13,60,New position
1/18/2022,USD,BOT,RICK,83.96,10,New position
1/21/2022,USD,BOT,VICI,27.195,11,Increase position
1/21/2022,USD,BOT,WPC,75.96,4,Increase position
1/21/2022,USD,BOT,RICK,73.22,3,Increase position
1/21/2022,USD,BOT,STOR,30.65,13,Increase position
1/21/2022,USD,BOT,EPR,44.328,9,Increase position
1/24/2022,USD,BOT,VICI,27.46,10,Increase position
1/24/2022,USD,BOT,RICK,72.188,3,Increase position
1/24/2022,USD,BOT,STOR,30.79,10,Increase position
1/24/2022,USD,BOT,EPR,43.77,7,Increase position
2/24/2022,USD,BOT,KGC,5.3,100,Increase position
2/24/2022,USD,BOT,RICK,61.71,3,Increase position
2/28/2022,USD,BOT,KGC,5.018,40,Increase position
3/3/2022,CAD,BOT,NET-UN.V,8,70,New holding
3/3/2022,USD,SLD,SQM,73.465,-6,exit position
3/4/2022,USD,SLD,MO,53.5,-36,exit position
3/9/2022,USD,SLD,KGC 14APR22 6.0 C,0.21,-2,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down"
3/10/2022,USD,SLD,AGI 14APR22 10.0 C,0.18,-1,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down"
3/10/2022,USD,SLD,BTG 14APR22 5.0 C,0.18,-1,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down"
3/10/2022,USD,SLD,FSM 14APR22 5.0 C,0.25,-1,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down"
3/10/2022,USD,SLD,BTG,4.55,-100,Reducing gold exposure
3/11/2022,USD,SLD,BTG,4.5,-100,Reducing gold exposure
3/11/2022,USD,SLD,BTG,4.55,-100,Reducing gold exposure
3/11/2022,USD,SLD,AGI,8.77,-50,Reducing gold exposure
3/11/2022,USD,BOT,RICK,59.08,4,Increase position
4/11/2022,USD,SLD,TEF,5.02,-93,exit position
4/8/2022,USD,BOT,KGC 14APR22 6.0 C,0.22,2,manually closed
4/14/2022,USD,BOT,AGI 14APR22 10.0 C,0,1,expired
4/14/2022,USD,BOT,BTG 14APR22 5.0 C,0,1,expired
4/14/2022,USD,BOT,FSM 14APR22 5.0 C,0,1,expired
4/19/2022,USD,SLD,ACC,64.9227,-17,ACC has been bought out
4/22/2022,USD,SLD,MPW 20MAY22 19 P,0.62,-1,
4/22/2022,EUR,BOT,BRNK.DE,13.9,100,New position
4/22/2022,EUR,BOT,VNA.DE,39.32,25,New position
4/27/2022,USD,BOT,OUT,26.265,40,New position
5/11/2022,EUR,BOT,BRNK.DE,12.56,48,Increase position
5/11/2022,EUR,BOT,VNA.DE,33.86,10,Increase position
5/5/2022,USD,BOT,RICK,62.45,10,Increase position
5/11/2022,USD,BOT,KGC,4.315,100,Increase position
5/11/2022,USD,BOT,OUT,20.5593,24,Increase position
5/19/2022,USD,BOT,MPW,19,100,Option exercise
5/16/2022,EUR,BOT,VNA.DE,33.18,10,
9/17/2021,USD,BOT,AGI,7.5,100,Increase position
9/20/2021,USD,BOT,BTG,3.585,80,Increase position
11/29/2021,USD,BOT,BTG,3.99,176,Increase position
9/20/2021,USD,BOT,EPR,44.328,6,Increase position
11/29/2021,USD,BOT,EPR,43.77,6,Increase position
11/29/2021,USD,BOT,FSM,3.485,173,Increase position
9/17/2021,USD,BOT,KGC,6,100,Increase position
9/20/2021,USD,BOT,KGC,5.3,55,Increase position
11/29/2021,USD,BOT,KGC,5.98,30,Increase position
9/20/2021,USD,BOT,VICI,29.21,10,Increase position
11/29/2021,EUR,BOT,LI.PA,19.195,21,Increase position
9/8/2020,USD,BOT,ENB,31.15,23,New position
6/13/2022,EUR,BOT,BRNK.DE,11.66,9,Increase position
6/13/2022,EUR,BOT,VNA.DE,31.16,4,Increase position
6/13/2022,USD,BOT,MPW,15.075,6,Increase position
6/13/2022,USD,BOT,OUT,16.545,8,Increase position
6/13/2022,USD,BOT,RICK,49.433,2,Increase position
6/13/2022,USD,BOT,STOR,24.865,4,Increase position
6/20/2022,EUR,BOT,BRNK.DE,11.56,18,Increase position
6/20/2022,EUR,BOT,VNA.DE,31.5,6,Increase position
6/21/2022,USD,BOT,OUT,17.71,5,Increase position
6/21/2022,USD,BOT,KGC,4.09,25,Increase position
6/21/2022,USD,BOT,FSM,3.09,32,Increase position
6/21/2022,USD,BOT,MAC,9.22,10,Increase position
6/21/2022,USD,BOT,MPW,14.48,21,Increase position
6/21/2022,USD,BOT,SPG,97.44,1,Increase position
6/21/2022,USD,BOT,STAG,30.51,5,Increase position
6/21/2022,USD,BOT,STOR,25.6,4,Increase position
6/21/2022,USD,SLD,WPC,83.24,-11,exit position
6/29/2022,USD,BOT,KGC,3.82,300,Increase position
7/1/2022,USD,BOT,KGC,3.57,160,Increase position
7/1/2022,USD,BOT,BTG,3.35,160,Increase position
7/5/2022,USD,BOT,KGC,3.345,50,Increase position
7/5/2022,USD,BOT,BTG,3.26,50,Increase position
7/5/2022,USD,BOT,FSM,2.645,100,Increase position
7/29/2022,USD,SLD,KOF,60.4,-5,exit position
8/12/2022,USD,SLD,O,74.46,-8,exit position
8/12/2022,USD,SLD,SRC,44.563,-10,exit position
8/30/2022,EUR,BOT,BRNK.DE,10.26,30,Increase position
8/30/2022,EUR,BOT,VNA.DE,27.11,10,Increase position
10/19/2022,USD,BOT,GMRE,7.689,200,New position
10/12/2022,USD,BOT,GRPN,7.39,50,New position
10/19/2022,USD,BOT,GRPN,6.97,20,Increase position
10/19/2022,USD,BOT,BTG,2.915,200,Increase position
10/17/2022,USD,SLD,STOR,31.345,-119,STOR has been acquired at 32.25 settled in Q1 23
10/24/2022,EUR,BOT,VNA.DE,21.12,10,Increase position
10/24/2022,EUR,BOT,BRNK.DE,7.09,28,Increase position
10/24/2022,USD,BOT,GRPN,6.51,15,Increase position
11/11/2022,USD,SLD,ENB,41.885,-8,Decrease position
11/11/2022,USD,SLD,FSM,3.47,-1115,exit position
11/11/2022,USD,SLD,WES,28.21,-11,Decrease position
12/2/2022,USD,SLD,AGI,10.025,-162,exit position
12/2/2022,USD,BOT,GRPN,8.43,12,Increase position
12/2/2022,USD,SLD,WES,28.245,-15,Decrease position
12/6/2022,USD,BOT,BTG,3.32,151,Increase position
12/6/2022,USD,BOT,GRPN,7.66,13,Increase position
12/12/2022,USD,BOT,GRPN,6.958,14,Increase position
12/23/2022,EUR,BOT,VNA.DE,21.73,9,Increase position
12/29/2022,EUR,BOT,VNA.DE,21.92,9,Increase position
12/29/2022,USD,SLD,ENB,39.285,-33,exit position - tax
12/29/2022,USD,SLD,WES,26.18,-30,exit position - tax
2/13/2023,CAD,SLD,BEI-UN.TO,57.72,-11,exit position
2/13/2023,USD,BOT,GRPN,7.13,14,Increase position
2/13/2023,USD,BOT,KGC,4.175,100,Increase position
2/15/2023,USD,BOT,KGC,3.92,100,Increase position
2/21/2023,USD,BOT,KGC,3.82,129,Increase position
2/21/2023,USD,BOT,AEM,46.05,21,New position
2/27/2023,USD,BOT,AEM,45.59,5,Increase position
2/21/2023,USD,BOT,BTG,3.32,151,Increase position
2/27/2023,EUR,BOT,VNA.DE,23.97,8,Increase position
3/13/2023,EUR,BOT,VNA.DE,20.56,10,Increase position
3/20/2023,EUR,BOT,VNA.DE,19.06,10,Increase position
3/24/2023,EUR,BOT,VNA.DE,17.065,40,Increase position
3/29/2023,EUR,BOT,VNA.DE,15.565,26,Increase position
4/4/2023,USD,SLD,AEM,55.32,-10,Decrease position
4/13/2023,USD,SLD,AEM,58.71,-16,exit position
3/20/2023,USD,BOT,EPR,36.15,5,Increase position
3/10/2023,USD,BOT,GRPN,5.67,35,Increase position
3/16/2023,USD,BOT,GRPN,5.0968,50,Increase position
3/20/2023,USD,BOT,GRPN,4.05,25,Increase position
3/24/2023,USD,BOT,GRPN,4.64,28,Increase position
4/4/2023,USD,SLD,KGC,5.082,-530,Decrease position
3/10/2023,USD,BOT,MPW,8.725,45,Increase position
3/20/2023,USD,BOT,RICK,78.74,2,Increase position
3/24/2023,USD,BOT,RICK,75.53,2,Increase position
3/10/2023,USD,BOT,UMH,14.778,13,Increase position
3/20/2023,USD,BOT,UMH,14.05,15,Increase position
3/24/2023,USD,BOT,UMH,13.96,10,Increase position
3/10/2023,USD,BOT,UNIT,4.23,47,Increase position
3/20/2023,USD,BOT,UNIT,3.53,30,Increase position
3/24/2023,USD,BOT,UNIT,3.26,30,Increase position
4/17/2023,EUR,BOT,VNA.DE,19.16,5.2192,Increase position
4/24/2023,EUR,BOT,VNA.DE,18.9525,5.2763,Increase position
5/2/2023,EUR,BOT,VNA.DE,19.19666667,5.2092,Increase position
5/8/2023,EUR,BOT,VNA.DE,18.38916667,5.4379,Increase position
4/17/2023,USD,BOT,ARE,118.54,25,New position
4/17/2023,USD,BOT,GRPN,3.90461538,25.6107,Increase position
4/24/2023,USD,BOT,GRPN,3.84592593,26.0015,Increase position
5/1/2023,USD,BOT,GRPN,3.46068966,28.8959,Increase position
5/8/2023,USD,BOT,GRPN,3.49655172,28.5996,Increase position
4/21/2023,USD,BOT,IAUX,2.45,100,New position
4/21/2023,USD,BOT,MGDPF,0.636,1000,New position
4/26/2023,USD,BOT,MGDPF,0.6309,100,Increase position
4/26/2023,USD,BOT,MGDPF,0.631,1000,Increase position
4/17/2023,USD,BOT,RICK,75.33,1.3274,Increase position
4/24/2023,USD,BOT,RICK,74.24,1.3469,Increase position
5/1/2023,USD,BOT,RICK,75.56,1.3234,Increase position
5/8/2023,USD,BOT,RICK,75.11,1.3313,Increase position
4/17/2023,USD,BOT,STAG,32.49,3.0778,Increase position
5/1/2023,USD,BOT,STAG,33.75,2.9629,Increase position
5/2/2023,EUR,BOT,VNA.DE,19.19666667,5.2092,Increase position
5/15/2023,EUR,BOT,VNA.DE,18.375,5.4421,Increase position
5/15/2023,USD,BOT,GRPN,3.1746875,31.4991,Increase position
5/22/2023,USD,BOT,GRPN,4.25833333,23.4833,Increase position
5/30/2023,USD,BOT,GRPN,5.18,19.305,Increase position
5/15/2023,USD,BOT,IAUX,2.329325,400,Increase position
5/17/2023,USD,BOT,IAUX,2.175,500,Increase position
5/25/2023,USD,BOT,IAUX,2.215,300,Increase position
5/10/2023,USD,SLD,KGC,5.5,-350,Decrease position
5/25/2023,USD,BOT,MGDPF,0.58581111,900,Increase position
5/15/2023,USD,BOT,RICK,72.61,1.3772,Increase position
5/22/2023,USD,BOT,RICK,76.58,1.3058,Increase position
5/30/2023,USD,BOT,RICK,74,1.3513,Increase position
5/15/2023,USD,BOT,STAG,34.75076923,2.8776,Increase position
5/30/2023,USD,BOT,STAG,34.32,2.9137,Increase position
6/27/2023,USD,SLD,FPI,12.36,-60,Exit
6/5/2023,USD,BOT,GRPN,6.00647059,16.6487,Increase position
6/12/2023,USD,BOT,GRPN,5.0892,19.6494,Increase position
6/21/2023,USD,BOT,MGDPF,0.5484,500,Increase position
6/5/2023,USD,BOT,RICK,75.88,1.3178,Increase position
6/12/2023,USD,BOT,RICK,74.64,1.2879,Increase position
6/12/2023,USD,BOT,STAG,35.96,2.7808,Increase position
6/28/2023,USD,SLD,UMH,16,-86,Exit
7/25/2023,USD,SLD,BRX,23.051,-43,Exit
7/31/2023,USD,BOT,CCI,108.01,13,New holding
7/31/2023,USD,BOT,IAUX,2.045,400,Increase position
7/25/2023,USD,BOT,SAFE,24.97,100,New holding
8/15/2023,USD,BOT,ADC,62.14,25,New holding
9/22/2023,USD,BOT,ADC,57.058,4,Increase position
9/27/2023,USD,BOT,ADC,55.6,3,Increase position
9/28/2023,USD,BOT,ADC,55.08640571,35,Increase position
9/22/2023,USD,BOT,ARE,101.2,2,Increase position
9/27/2023,USD,BOT,ARE,99.42,1,Increase position
8/15/2023,USD,BOT,BTG,3.07,300,Increase position
9/27/2023,USD,BOT,BTG,2.89,100,Increase position
8/15/2023,USD,BOT,CCI,102.965,5,Increase position
9/22/2023,USD,BOT,CCI,91.77,2,Increase position
8/15/2023,USD,SLD,GRPN,10.5624965,-495.6932,Exit
8/1/2023,USD,BOT,IAUX,2.03,200,Increase position
8/15/2023,USD,BOT,IAUX,2.018,300,Increase position
9/22/2023,USD,BOT,IAUX,1.655,200,Increase position
9/27/2023,USD,BOT,IAUX,1.555,100,Increase position
8/15/2023,USD,BOT,MGDPF,0.56,600,Increase position
9/27/2023,USD,BOT,MGDPF,0.4499,400,Increase position
8/15/2023,USD,BOT,SAFE,20.615,30,Increase position
9/27/2023,USD,BOT,SAFE,17.78,10,Increase position
10/5/2023,USD,SLD,LAAC,6.11,0,"SPIN off LAC - 175.06 rlzd gain, #shrs 55"
10/4/2023,USD,BOT,AEM,43.547,100,
10/20/2023,USD,SLD,AEM 17NOV23 55 C,0.58,-1,"Write Call option, to reduce miners exposure"
10/17/2023,USD,BOT,AEM 17NOV23 55 C,0,1,Expired
11/3/2023,USD,SLD,KGC 15DEC23 6 C,0.13,-7,"Write Call option, to reduce miners exposure"
11/20/2023,USD,BOT,IAUX,1.35,600,
11/24/2023,USD,SLD,LAC,7.11,-55,Exit full position - too small
11/24/2023,USD,SLD,EQX,4.95,-50,Exit full position - too small
11/28/2023,USD,SLD,MGDPF,0.5925,-4500,Exit - has been acquired reducing stake in PM sector
12/15/2023,USD,SLD,KGC,6,-700,Option exercise
12/18/2023,USD,SLD,KGC,6,-55,Exit residual position of KGC
12/8/2023,USD,BOT,NLCP,13.99,100,New holding
12/27/2023,USD,SLD,GRPN 19JAN24 11 P,0.32,-1,"Write Put option, bullish on GRPN"
12/1/2023,USD,SLD,AEM 15DEC23 55 C,0.8596,-1,"Write Call option, to reduce miners exposure"
12/15/2023,USD,BOT,AEM 15DEC23 55 C,0,1,Expired
12/19/2023,USD,SLD,AEM 19JAN24 60 C,0.4996,-1,"Write Call option, to reduce miners exposure"
12/29/2023,USD,SLD,OXY 02FEB24 56 P,0.4396,-1,"Write put option, bullish on Oil price"
1/3/2024,USD,SLD,NEM 09FEB24 36 P,0.3195,-1,"Write put option, bullish on this miner at $36/shr"
12/15/2023,USD,BOT,KGC 15DEC23 6 C,0,7,Assigned
5/20/2022,USD,BOT,MPW 20MAY22 19 P,0,1,Assigned
9/17/2021,USD,BOT,AGI 17SEP21 7.5 P,0,1,Assigned
7/16/2021,USD,BOT,AGI 16JUL21 7.5 P,0,1,Expired
9/17/2021,USD,SLD,KGC 19SEP21 6 P,0,1,Assigned
1/19/2024,USD,BOT,GRPN 19JAN24 11 P,0,1,Expired
1/19/2024,USD,BOT,AEM 19JAN24 60 C,0,1,Expired
2/2/2024,USD,BOT,OXY 02FEB24 56 P,0,1,Expired
1/25/2024,EUR,BOT,BRNK.DE,2.03,200,Increase position
1/25/2024,USD,BOT,BTG,2.68,1000,Increase position
2/9/2024,USD,BOT,NEM 09FEB24 36 P,0,1,Assigned
2/9/2024,USD,BOT,NEM,36,100,New holding assigned from sell put option 
2/9/2024,USD,SLD,NEM 28MAR24 29 P,0.47,-1,"Write put option, bullish on this miner at $29/shr"
2/9/2024,USD,SLD,BTG 19APR24 2.5 P,0.11,-10,"Write put option, bullish on this miner at $2.5/shr"
2/26/2024,USD,SLD,SPG,150.045,-13,Exit position
3/4/2024,USD,SLD,COIN,222,-3,Exit position
3/15/2024,USD,SLD,ADC 19APR24 55 P,0.99,-1,"Write Put option, bullish on ADC"
3/5/2024,USD,SLD,AEM 19APR24 60 C ,0.67,-1,"Write Call option, to reduce miners exposure"
3/5/2024,USD,SLD,NEM 15MAR24 36 C,0.34,-1,"Write Call option, to reduce miners exposure"
3/15/2024,USD,BOT,NEM 15MAR24 36 C,0,1,Expired
3/28/2024,USD,BOT,NEM 28MAR24 29 P,0,1,Expired
3/20/2024,USD,SLD,NEM 12APR24 36 C,0.49,-1,"Write Call option, to reduce miners exposure"
3/15/2024,USD,SLD,SAFE 19APR24 20 P,0.97,-1,"Write Put option, bullish on SAFE"
3/15/2024,USD,SLD,VICI 19APR24 27.5 P,0.28,-1,"Write Put option, bullish on VICI"
4/19/2024,USD,BOT,AEM 19APR24 60 C ,0,1,Assigned
4/12/2024,USD,BOT,NEM 12APR24 36 C,0,1,Assigned
4/19/2024,USD,SLD,AEM,60,-100,Exit position
4/12/2024,USD,SLD,NEM,36,-100,Exit position
4/19/2024,USD,BOT,ADC 19APR24 55 P,0,1,Expired
4/19/2024,USD,BOT,BTG 19APR24 2.5 P,0,10,Expired
4/12/2024,USD,SLD,BTG 18OCT24 5 C,0.075,-20,"Write Call option, to reduce miners exposure"
4/24/2024,USD,SLD,CVS 24MAY24 64 P,0.72,-1,"Write Put option, bullish on CVS"
4/24/2024,USD,SLD,FR 17MAY24 45 P,0.58,-1,"Write Put option, bullish on FR"
4/19/2024,USD,BOT,SAFE 19APR24 20 P,1.15,1,bought back
4/19/2024,USD,BOT,VICI 19APR24 27.5 P,0,1,Expired
4/19/2024,USD,SLD,VICI 17MAY24 27.5 P,0.44,-1,"Write Put option, bullish on VICI"
4/11/2024,USD,SLD,WBD 03MAY24 8 P ,0.19,-5,"Write Put option, bullish on WBD"
5/1/2024,USD,BOT,CVS,64,100,New holding
5/1/2024,USD,BOT,CVS 24MAY24 64 P,0,1,Assigned
5/3/2024,USD,BOT,WBD 03MAY24 8 P ,0,5,Assigned
5/3/2024,USD,BOT,WBD,8,500,New holding
5/10/2024,USD,SLD,MTCH 17MAY24 29.5 P,0.26,-1,"Write Put option, bullish on MTCH"
5/10/2024,USD,SLD,WBD 17MAY24 8.5 C,0.12,-5,Write Call option
5/23/2024,USD,BOT,REXR,45.04,70,New holding industrial REIT
5/15/2024,EUR,SLD,VNA 21JUN24 30.5 C,0.88,-2,"Write Call option, to exit european apartements, Spike volatility"
6/7/2024,USD,SLD,CVS 28JUN24 64 C,0.58,-1,Write call option to exit CVS at B/E
5/17/2024,USD,BOT,FR 17MAY24 45 P,0,1,Expired
5/17/2024,USD,BOT,MTCH 17MAY24 29.5 P,0,1,Expired
5/17/2024,USD,BOT,VICI 17MAY24 27.5 P,0,1,Expired
5/17/2024,USD,BOT,WBD 17MAY24 8.5 C,0,5,Expired
5/31/2024,USD,SLD,WBD 14JUN24 8.5 C,0.24,-5,Write call option to exit WBD
6/21/2024,EUR,BOT,VNA 21JUN24 30.5 C,0,2,Expired
6/28/2024,USD,BOT,CVS 28JUN24 64 C,0,1,Expired
6/14/2024,USD,BOT,WBD 14JUN24 8.5 C,0,5,Expired
6/28/2024,EUR,SLD,RWE 19JUL24 31.5 P,0.43,-2,"Write Put option, bullish on RWE"
7/19/2024,EUR,BOT,RWE 19JUL24 31.5 P,0,2,Expired
7/22/2024,EUR,SLD,VNA 16AUG24 30.5 C,0.41,-2,"Write Call option, to exit european apartements, Spike volatility"
7/19/2024,EUR,SLD,RWE 16AUG24 32 P,0.6,-2,"Write Put option, bullish on RWE"
7/16/2024,USD,SLD,CVS 09AUG24 64 C,0.84,-1,Write call option to exit CVS at B/E
7/1/2024,USD,SLD,WBD 19JUL24 7 P,0.17,-2,Write put option to add avg WBD
7/19/2024,USD,BOT,WBD 19JUL24 7 P,0,2,Expired
7/16/2024,USD,SLD,WBD 09AUG24 8.5 C,0.26,-5,Write call option to exit WBD
8/2/2024,EUR,SLD,RWE 16AUG24 31 P,0.38,-2,"Write Put option, bullish on RWE, volatility spike"
8/16/2024,EUR,BOT,RWE 16AUG24 31 P,0,2,Expired
8/16/2024,EUR,BOT,RWE 16AUG24 32 P,0,2,Assigned
8/16/2024,EUR,BOT,RWE.DE,32,200,New holding
8/15/2024,EUR,BOT,VNA 16AUG24 30.5 C,0.03,2,Manually closed a day before expiry to mitigate assignement risk - spike next morning
8/9/2024,USD,BOT,CVS 09AUG24 64 C,0,1,Expired
8/9/2024,USD,BOT,WBD 09AUG24 8.5 C,0,5,Expired
8/12/2024,USD,SLD,WBD 16AUG24 7 P,0.3,-3,"Write Put option, bullish on WBD"
8/15/2024,USD,BOT,WBD 16AUG24 7 P,0,3,Manually closed a day before expiry to mitigate assignement risk - spike next morning
8/23/2024,USD,SLD,STAG,40.58,-36.6128,Exit STAG to increase cash
8/23/2024,CAD,SLD,REI-UN.TO,18.36,-26,Exit REI.UN to increase cash
8/23/2024,USD,SLD,ADC,73.13,-67,"Exit ADC, after recent price appreciation"
8/23/2024,USD,SLD,WBD 06SEP24 8 C,0.16,-3,"Write call option to exit WBD, volatility spike"
