Date,Curency,Action,Ticker,Price,Qty,Note
4/20/2020,USD,BOT,OXY,12.89,77,
4/8/2020,USD,BOT,VOD,13.75,73,
4/8/2020,USD,BOT,TEF,4.77,210,
6/30/2020,USD,BOT,MO,39.08,25,
6/30/2020,USD,BOT,WBA,42.12,23,
8/6/2020,USD,BOT,TEF,4.16,118,
8/18/2020,USD,BOT,LAC,7.84,63,
8/24/2020,USD,BOT,SQM,32.41,6,
8/24/2020,USD,BOT,EOG,43.71,5,
8/24/2020,USD,BOT,WES,9.42,13,
8/24/2020,USD,BOT,LAC,7.78,19,
8/24/2020,USD,BOT,LAC,6.92,21,
8/31/2020,USD,BOT,EOG,46.22,5,
8/31/2020,USD,BOT,SQM,32.54,6,
8/31/2020,USD,BOT,WES,9.13,14,
9/8/2020,USD,BOT,UBA,10.01,50,
9/8/2020,USD,BOT,MAC,8.23,90,
9/8/2020,USD,BOT,MPW,18.4,98,
9/8/2020,USD,BOT,SPG,69.41,10,
9/8/2020,USD,BOT,SRC,36.21,54,
9/8/2020,USD,BOT,ACC,35.54,14,
9/8/2020,USD,BOT,STOR,27.77,71,
9/8/2020,USD,BOT,IRT,12.13,82,
9/8/2020,USD,BOT,UMH,14.5,34,
9/8/2020,USD,BOT,WES,8.44,29,
9/8/2020,USD,BOT,EOG,41.36,13,
9/15/2020,USD,BOT,EOG,38.45,7,
9/15/2020,USD,BOT,ENB,30.95,10,
9/15/2020,USD,BOT,EPR,32.25,16,
9/21/2020,USD,BOT,SRC,33.2,3,
9/21/2020,USD,BOT,STOR,26.49,4,
9/21/2020,USD,BOT,EOG,38.7,2,
9/21/2020,USD,BOT,SPG,64.68,2,
9/21/2020,USD,BOT,MAC,6.895,15,
9/21/2020,USD,BOT,IRT,11.01,9,
9/21/2020,USD,BOT,EPR,27.68,3,
9/21/2020,USD,BOT,UMH,13.8881,7,
9/21/2020,USD,BOT,MO,38.64,3,
9/21/2020,USD,BOT,MPW,16.81,6,
9/21/2020,USD,BOT,UBA,8.6362,12,
9/21/2020,USD,BOT,ENB,29.96,3,
9/21/2020,USD,BOT,BRX,11.78,43,
9/21/2020,USD,BOT,BPYU,10.9,45,
10/22/2020,USD,SLD,BPYU,14.645,-45,sold BPYU realized gain $167.79 (+34%)
10/22/2020,USD,BOT,EOG,35.325,5,increased position funded from BPYU sell
10/22/2020,USD,BOT,MO,38.56,5,increased position funded from BPYU sell
10/22/2020,USD,BOT,UBA,9.75,20,increased position funded from BPYU sell
10/29/2020,USD,BOT,SRC,30.08,7,
10/29/2020,USD,BOT,UBA,9.28,21,
10/29/2020,USD,BOT,IRT,11.25,17,
11/12/2020,USD,BOT,MO,39.21,3,
11/12/2020,USD,BOT,ENB,28.57,5,
11/12/2020,USD,BOT,ACC,40.38,3,
