Date,Curency,Action,Ticker,Price,Qty,Note,,
2021-08-27,USD,SLD,TEF,5.045,-30,Decrease position,,
2021-09-09,USD,SLD,SRC,51.33,-54,Decrease position,,
2021-09-09,USD,BOT,KGC,5.83,50,Increase position,,
2021-09-09,USD,BOT,BTG,3.715,50,Increase position,,
2021-09-09,USD,BOT,VICI,29.9,25,Increase position,,
2021-09-10,USD,SLD,LAC,23.12,-23,Decrease position,,
2021-09-10,USD,SLD,SQM,56.26,-3,Decrease position,,
2021-09-15,USD,SLD,LAC,24.55,-15,Decrease position,,
2021-09-15,USD,SLD,SQM,57.2675,-3,Decrease position,,
2021-10-08,USD,SLD,EOG,90.62,-10,Decrease position,,
2021-10-12,USD,SLD,LAC,24.25,-10,Decrease position,,
2021-10-20,USD,SLD,EOG,93.04,-7,Decrease position,,
2021-10-14,USD,SLD,WBA,50.98,-19,Decrease position,,
2021-11-15,USD,BOT,FSM,3.77,500,New position bet na obnovenie povolenia tazby v mexiku od SEMARNATU,,
2021-11-22,USD,SLD,IRT,25.36,-108,Closed IRT position realized gain (+113%),,
2021-12-01,USD,BOT,BTG,3.81,130,Increase position,,
2021-12-02,USD,BOT,BTG,3.66,137,Increase position,,
2021-12-01,USD,BOT,EPR,44.26,10,Increase position,,
2021-12-01,USD,BOT,FSM,3.28,150,Increase position,,
2021-12-02,USD,BOT,FSM,3.14925,160,Increase position,,
2021-12-02,USD,BOT,KGC,5.72,87,Increase position,,
2022-01-11,USD,SLD,EOG,102,-20,Closed EOG position,,
2022-01-18,USD,BOT,COIN,221.625,3,New position,,
2022-01-18,USD,BOT,FPI,12.13,60,New position,,
2022-01-18,USD,BOT,RICK,83.96,10,New position,,
2022-01-21,USD,BOT,VICI,27.195,11,Increase position,,
2022-01-21,USD,BOT,WPC,75.96,4,Increase position,,
2022-01-21,USD,BOT,RICK,73.22,3,Increase position,,
2022-01-21,USD,BOT,STOR,30.65,13,Increase position,,
2022-01-21,USD,BOT,EPR,44.328,9,Increase position,,
2022-01-24,USD,BOT,VICI,27.46,10,Increase position,,
2022-01-24,USD,BOT,RICK,72.188,3,Increase position,,
2022-01-24,USD,BOT,STOR,30.79,10,Increase position,,
2022-01-24,USD,BOT,EPR,43.77,7,Increase position,,
2022-02-24,USD,BOT,KGC,5.3,100,Increase position,,
2022-02-24,USD,BOT,RICK,61.71,3,Increase position,,
2022-02-28,USD,BOT,KGC,5.018,40,Increase position,,
2022-03-03,CAD,BOT,NET.UN VENTURE,8,70,New holding,,
2022-03-03,USD,SLD,SQM,73.465,-6,exit position,,
2022-03-04,USD,SLD,MO,53.5,-36,exit position,,
2022-03-09,USD,SLD,KGC 14APR22 6.0 C,0.21,-2,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down",,
2022-03-10,USD,SLD,AGI 14APR22 10.0 C,0.18,-1,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down",,
2022-03-10,USD,SLD,BTG 14APR22 5.0 C,0.18,-1,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down",,
2022-03-10,USD,SLD,FSM 14APR22 5.0 C,0.25,-1,"Write Call option, to reduce miners exposure & short market view for gold price after RU/UA settles down",,
2022-03-10,USD,SLD,BTG,4.55,-100,Reducing gold exposure,,
2022-03-11,USD,SLD,BTG,4.5,-100,Reducing gold exposure,,
2022-03-11,USD,SLD,BTG,4.55,-100,Reducing gold exposure,,
2022-03-11,USD,SLD,AGI,8.77,-50,Reducing gold exposure,,
2022-03-11,USD,BOT,RICK,59.08,4,Increase position,,
2022-04-11,USD,SLD,TEF,5.02,-93,exit position,,
2022-04-08,USD,BOT,KGC 14APR22 6.0 C,0.22,2,manually closed,,
2022-04-14,USD,BOT,AGI 14APR22 10.0 C,0,1,expired,,
2022-04-14,USD,BOT,BTG 14APR22 5.0 C,0,1,expired,,
2022-04-14,USD,BOT,FSM 14APR22 5.0 C,0,1,expired,,
2022-04-19,USD,SLD,ACC,64.9227,-17,ACC has been bought out,,
