Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
SPG,57,0.04100037188545925,111.97,13.0,70.921,922,534.0,1456.0,2.57,US,SIMON PROPERTY GROUP INC,REITS,REITS,36584146729.26739,105.9831,1.54653,14.0,132.0,17.888720192908817,7.2,1.8,06082023,111.97000122070312,-0.04690162750670706,39.46561476585247,22.49640024833345,23.400000000000002,6,Jun,6.43,57.88,Malls,USD,Small
AEM,-11,-0.008172796263864598,50.97,26.0,45.99,"1,196",129.0,1325.0,2.34,CA,AGNICO EAGLE MINES LTD,Basic Materials,Gold Miners,23179060297.79888,108.2407,0.69604,16.0,62.82,23.248969982342558,1.6,0.4,04282023,50.97000122070313,-0.019619189181316412,52.33507686324386,27.38558927006772,10.4,4,Apr,3.14,10.83,,USD,Small
UMH,35,0.028217481073640624,14.94,86.0,13.828,"1,189",96.0,1285.0,2.27,US,UMH PROPERTIES INC,REITS,REITS,891040827.6668961,,1.29483,8.0,20.88,39.75903614457831,0.82,0.205,05122023,14.789999961853027,-0.07204971142763622,36.17562290740845,21.141986533791272,17.63,5,May,5.49,8.04,Residential,USD,Small
OUT,45,0.03706070287539937,16.23,77.0,22.94,"1,766",-517.0,1250.0,2.2,US,OUTFRONT MEDIA INC,REITS,REITS,2677636807.667732,145.2872,1.7440099999999998,5.0,26.6,63.894023413431924,1.2,0.3,06012023,16.229999542236328,-0.02110976630377573,56.9956756663692,23.836842811153282,23.099999999999998,6,Jun,7.39,-29.25,,USD,Small
MAC,47,0.04023552502453388,10.6,115.0,7.646,879,340.0,1219.0,2.15,US,MACERICH CO/THE,REITS,REITS,2279281903.827282,,2.1686400000000003,11.0,12.82,20.9433962264151,0.68,0.17,05182023,10.600000381469727,-0.058614583966787086,62.011381228700294,31.48232421710906,19.55,5,May,6.42,38.63,Malls,USD,Small
LAC,18,0.015398973401773304,21.76,55.0,7.5089999999999995,413,784.0,1197.0,2.11,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3287148050.396641,,1.4793100000000001,9.0,36.94,69.76102941176468,0.0,0.0,01011970,21.76000022888184,0.14828491419145842,93.62118148666731,48.98111043577028,0.0,1,Jan,0.0,189.79,,USD,Small
GRPN,229,0.24629080118694366,4.2,276.0,6.0329999999999995,"1,665",-506.0,1159.0,2.04,US,GROUPON INC,Communications,Internet,128970658.75370918,,1.8019900000000002,4.0,9.38,123.33333333333334,0.0,0.0,01011970,4.2100000381469735,-0.5104895061367498,95.66740376006642,54.54941422708227,0.0,1,Jan,0.0,-30.38,,USD,Small
BRX,24,0.026557218734910702,21.26,43.0,11.716,504,410.0,914.0,1.61,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,6389074269.08397,84.04659000000001,1.55958,17.0,24.88,17.02728127939792,1.04,0.26,04032023,21.520000457763672,-0.05139678424958016,39.396400645319815,21.5958390278846,11.18,4,Apr,4.89,81.46,Shopping Center,USD,Small
STAG,13,0.01744885679903725,33.82,22.0,30.095,662,82.0,744.0,1.31,US,STAG INDUSTRIAL INC,REITS,REITS,6066390261.1311655,146.7575,1.02293,10.0,42.65,26.108811354228262,1.464,0.122,04272023,33.81999969482422,0.05417365587869069,36.077041278112546,19.32181601683106,2.684,4,Apr,4.33,12.38,Industrial,USD,Small
VOD,3,0.00452898550724628,11.09,66.0,13.764000000000001,908,-176.0,732.0,1.29,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,29889448559.782608,120.4042,0.75981,2.0,14.94,34.715960324616766,0.977,0.467,06222023,11.039999961853027,0.0958498147638398,35.830826710330896,20.50795940591476,30.822000000000003,6,Jun,8.81,-19.43,,USD,Small
UNIT,32,0.050000000000000114,3.57,192.0,6.965,"1,337",-652.0,685.0,1.21,US,UNITI GROUP INC,REITS,REITS,846993000.0,,1.3542,10.0,8.55,139.49579831932775,0.6,0.15,06152023,3.5499999523162837,-0.3544304042397633,64.79148370799993,27.268911672826682,28.799999999999997,6,Jun,16.81,-48.74,Specialty,USD,Small
FPI,19,0.029836381135707458,10.7,60.0,12.137,728,-86.0,642.0,1.13,US,FARMLAND PARTNERS INC,REITS,REITS,583549370.5486045,40.09047,0.8367100000000001,5.0,14.5,35.514018691588795,0.24,0.06,06302023,10.699999809265137,-0.14125200904964968,41.837106149350376,21.222946770771962,3.5999999999999996,6,Jun,2.24,-11.84,,USD,Small
REI.UN TSE,8,0.015438247011952125,20.39,26.0,18.22,474,56.0,530.0,0.69,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,6005670000.0,130.9965,1.19728,9.0,25.0,22.609122118685626,1.08,0.09,04272023,,,27.54242986283144,15.55670003138566,2.34,4,Apr,5.3,11.91,,CAD,Micro
BYG LSE,3,0.011245674740484496,1169.0,25.0,1116.5,279,13.0,292.0,0.64,GB,BIG YELLOW GROUP PLC,REITS,REITS,2154069580.4498267,17.80039,0.58125,16.0,1289.63,10.3190761334474,0.446,0.223,07032023,11.6899995803833,0.01918044706621264,51.82931821403729,25.841636554016514,5.575,7,Jul,0.04,4.7,,GBP,Micro
NET.UN VENTURE,6,0.014492753623188418,5.6,70.0,8.016,561,-169.0,392.0,0.51,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,113433400.0,,0.48596000000000006,5.0,8.05,43.75000000000002,0.345,0.02875,04132023,,,56.451974621628,20.99784712245048,2.0125,4,Apr,6.16,-30.14,,CAD,Micro
EQX,-11,-0.04096834264432025,5.15,50.0,6.187,309,-52.0,258.0,0.45,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1607490502.793296,,0.94147,1.0,4.43,-13.980582524271856,0.0,0.0,01011970,5.150000095367432,0.5701219649151067,90.18054069508005,46.722485260186396,0.0,1,Jan,0.0,-16.76,,USD,Micro
COIN,9,0.04894014962593517,67.3,3.0,221.74200000000002,665,-463.0,202.0,0.36,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,15578177291.147131,,,24.0,65.71,-2.362555720653794,0.0,0.0,01011970,67.56999969482422,0.9016671704064856,191.45133136078343,62.50857090485047,0.0,1,Jan,0.0,-69.65,,USD,Micro
DIC.DIV CORPACT,0,,0.54,233.0,0.54,126,0.0,126.0,0.24,XX,DIC ASSET AG - DIVIDEND RIGHTS,,,,,,,,,0.0,0.0,01011970,,,,,0.0,1,Jan,0.0,0.0,,,Micro
