Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
KGC,-82,-0.01052631578947365,4.7,1635.0,4.705,"7,692",-7.0,7685.0,13.55,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5887895716.510904,495.1768,0.9312600000000001,15.0,5.29,12.553191489361698,0.12,0.03,06012023,4.710000038146973,0.1491442114069704,59.50749655030965,34.67087812190504,49.05,6,Jun,2.55,-0.11,,USD,X Large
BTG,-105,-0.01995012468827921,3.93,1308.0,3.477,"4,547",594.0,5140.0,9.06,CA,B2GOLD CORP,Basic Materials,Gold Miners,4226273966.6666665,68.05234,0.94609,3.0,5.02,27.735368956742985,0.16,0.04,06162023,3.940000057220459,0.10084035671961412,54.913734554281035,36.69408421646669,52.32,6,Jun,4.07,13.03,,USD,Large
VNA IBIS,-6,-0.001727115716753088,17.34,187.0,24.250999999999998,"4,535",-1292.0,3243.0,6.2,DE,VONOVIA SE,REITS,REITS,13800034507.77202,,0.69423,21.0,35.8,106.45905420991926,0.85,0.85,05182023,17.34000015258789,-0.2125340763157717,54.326851562502114,27.799280247067127,158.95,5,May,4.9,-28.5,,EUR,Large
RICK,85,0.028552631578947395,78.17,39.0,70.06,"2,732",316.0,3049.0,5.37,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,721526688.2500001,4.08279,1.6968,4.0,131.5,68.22310349238838,0.24,0.06,06142023,78.16999816894531,-0.16117611383098912,61.541501088488246,30.4481012098968,2.34,6,Jun,0.31,11.58,,USD,Medium
VICI,71,0.037095253065073865,32.99,88.0,28.916,"2,545",326.0,2871.0,5.06,US,VICI PROPERTIES INC,REITS,REITS,32757166023.263126,122.6256,0.9671200000000001,18.0,38.0,15.186420127311301,1.56,0.39,06212023,32.61999893188477,0.01820982859058958,41.56152407280547,17.094146182491894,34.32,6,Jun,4.73,14.09,Net Lease,USD,Medium
MPW,64,0.026119402985074508,8.25,306.0,16.656,"5,097",-2572.0,2525.0,4.45,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,4935975000.0,77.53883,1.0038799999999999,13.0,14.77,79.03030303030303,1.16,0.29,06142023,8.220000267028809,-0.2594255165400423,54.56846230314479,23.309015655940428,88.74,6,Jun,14.06,-50.47,Healthcare,USD,Medium
EPR,69,0.030286641427798737,38.1,62.0,40.396,"2,505",-142.0,2362.0,4.16,US,EPR PROPERTIES,REITS,REITS,2868466371.011358,160.2737,1.6724700000000001,7.0,44.14,15.85301837270341,3.3,0.275,04272023,38.099998474121094,0.02353595841452298,36.85838496072152,21.99365463692691,17.05,4,Apr,8.66,-5.68,Net Lease,USD,Medium
DIC IBIS,-119,-0.06100478468899528,7.85,233.0,12.103,"2,820",-991.0,1829.0,3.5,DE,DIC ASSET AG,REITS,REITS,652746092.1052634,201.0186,1.16495,9.0,11.1,41.40127388535032,0.75,0.75,04012024,7.9099998474121085,0.030183742505928306,45.95717661583992,23.07772434799849,174.75,4,Apr,9.55,-35.14,,EUR,Medium
GMRE,28,0.012345679012345616,9.02,200.0,7.843,"1,568",242.0,1810.0,3.19,US,GLOBAL MEDICAL REIT INC,REITS,REITS,593007801.3468014,412.926,1.10805,7.0,11.86,31.48558758314856,0.84,0.21,06212023,9.109999656677246,-0.04852316080680051,44.53212209701778,20.584315815756472,42.0,6,Jun,9.31,15.01,Healthcare,USD,Medium
LI SBF,-2,-0.0014367816091954565,20.85,78.0,13.0671,"1,019",607.0,1626.0,3.11,FR,KLEPIERRE,REITS,REITS,5981055165.229886,62.567069999999994,1.7440200000000001,17.0,22.0,5.5155875299760115,0.0,0.0,01011970,20.850000381469727,-0.031583867392409926,49.6027572012634,22.790714017187575,0.0,1,Jan,0.0,59.56,,EUR,Medium
