Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
MAC,0,0.0,11.26,115.0,7.646,879,416.0,1295.0,2.35,US,MACERICH CO/THE,REITS,REITS,2418476000.0,,2.09347,12.0,12.54,11.367673179396087,0.68,0.17,02172023,11.260000228881836,-2e-08,62.011381228700294,34.83962302299346,19.55,2,Feb,6.04,47.27,Malls,USD,Small
GRPN,131,0.14927344782034355,8.7,124.0,7.313,907,163.0,1070.0,1.94,US,GROUPON INC,Communications,Internet,262674627.4768825,,1.92,4.0,9.38,7.8160919540230065,0.0,0.0,01011970,,,,,0.0,1,Jan,0.0,18.97,,USD,Small
LI SBF,-34,-0.019581056466302357,21.53,78.0,13.0671,"1,019",660.0,1679.0,3.26,FR,KLEPIERRE,REITS,REITS,6176120702.641166,66.65751,1.76537,17.0,21.72,0.882489549465851,0.0,0.0,01011970,21.530000686645508,-3e-08,50.900498306390475,26.158174063896073,0.0,1,Jan,0.0,64.76,,EUR,Medium
RICK,-44,-0.01334039174166231,93.19,35.0,69.23100000000001,"2,423",839.0,3262.0,5.92,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,861443525.3679197,3.8748099999999996,1.6887599999999998,4.0,132.0,41.64609936688486,0.2,0.05,03142023,93.19000244140624,-3e-08,61.541501088488246,37.98738116476017,1.75,3,Mar,0.21,34.61,,USD,Medium
BEI.UN TSE,4,0.00713121434392831,49.43,11.0,27.463,302,242.0,544.0,0.73,CA,BOARDWALK REAL ESTATE INVEST,REITS,REITS,2244081000.0,12.03652,1.6808400000000001,11.0,60.36,22.112077685616022,1.08,0.09,01302023,,,35.578107056033026,19.07830105995364,0.99,1,Jan,2.18,79.99,,CAD,Micro
OUT,-8,-0.0065907729179148855,16.58,77.0,22.94,"1,766",-490.0,1277.0,2.32,US,OUTFRONT MEDIA INC,REITS,REITS,2721666107.8490114,113.8655,1.6805900000000003,6.0,26.67,60.856453558504256,1.2,0.3,03022023,,,,,23.099999999999998,3,Mar,7.24,-27.72,,USD,Small
EPR,-1,-0.00026504,37.72,57.0,40.762,"2,323",-173.0,2150.0,3.9,US,EPR PROPERTIES,REITS,REITS,2829793789.5573807,154.19899999999998,1.60667,8.0,45.13,19.64475079533405,3.3,0.275,01302023,37.72000122070313,-3e-08,42.642897129830324,21.99365463692691,15.675,1,Jan,8.75,-7.46,Net Lease,USD,Medium
BRX,4,0.004430660168365149,22.67,43.0,11.716,504,471.0,975.0,1.77,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,6799031315.906071,88.60777,1.5186,17.0,24.13,6.4402293780326305,1.04,0.26,01032023,22.670000076293945,-0.0,39.396400645319815,21.5958390278846,11.18,1,Jan,4.59,93.5,Shopping Center,USD,Small
SPG,2,0.0013637913399249626,117.48,13.0,70.921,922,605.0,1527.0,2.77,US,SIMON PROPERTY GROUP INC,REITS,REITS,40285466143.87999,112.8539,1.5076,15.0,124.8,6.230847803881505,7.2,1.8,03092023,117.4800033569336,-3e-08,45.266951454178226,24.122266787911485,23.400000000000002,3,Mar,6.13,65.65,Malls,USD,Small
LAC,3,0.002639915522703311,18.99,55.0,7.5089999999999995,413,631.0,1044.0,1.9,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,2563186780.3590283,,1.35189,8.0,37.44,97.1563981042654,0.0,0.0,01011970,18.950000762939453,0.002110777596314161,93.62118148666731,48.98111043577028,0.0,1,Jan,0.0,152.9,,USD,Small
