Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
UNIT,-12,-0.02464788732394361,5.54,85.0,10.982999999999999,934,-463.0,471.0,0.85,US,UNITI GROUP INC,REITS,REITS,1314088000.0000002,,1.22987,10.0,10.1,82.31046931407941,0.6,0.15,03312023,,,,,12.75,3,Mar,10.83,-49.56,Specialty,USD,Micro
UMH,-9,-0.01105651105651104,16.1,48.0,13.450999999999999,646,127.0,773.0,1.4,US,UMH PROPERTIES INC,REITS,REITS,897337159.0909091,,1.22353,8.0,21.44,33.16770186335403,0.8,0.2,02142023,16.100000381469727,-2e-08,36.17562290740845,21.141986533791272,9.600000000000001,2,Feb,4.97,19.69,Residential,USD,Small
REI.UN TSE,2,0.004277566539923948,21.13,26.0,18.22,474,76.0,549.0,0.74,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,6309001000.0,68.50806999999999,1.16193,8.0,24.0,13.582584003786092,1.02,0.085,01302023,,,27.54242986283144,15.55670003138566,2.21,1,Jan,4.83,15.97,,CAD,Micro
DIC IBIS,-2,-0.0013106159895151606,7.62,233.0,12.103,"2,820",-1044.0,1775.0,3.45,DE,DIC ASSET AG,REITS,REITS,633621076.2778505,184.0242,1.0991799999999998,9.0,13.28,74.2782152230971,0.75,0.75,03282023,7.619999885559082,2e-08,45.95717661583992,20.01886560561977,174.75,3,Mar,9.84,-37.04,,EUR,Medium
GMRE,16,0.008447729672650481,9.55,200.0,7.843,"1,568",342.0,1910.0,3.47,US,GLOBAL MEDICAL REIT INC,REITS,REITS,625699864.8363253,325.2969,1.0635700000000001,7.0,11.57,21.151832460732976,0.84,0.21,03212023,9.479999542236328,0.007384014888587169,44.53212209701778,20.584315815756472,42.0,3,Mar,8.8,21.76,Healthcare,USD,Medium
VICI,-1,-0.00030855,32.4,88.0,28.916,"2,545",307.0,2851.0,5.17,US,VICI PROPERTIES INC,REITS,REITS,32314876272.755318,175.6538,1.0102,19.0,37.87,16.88271604938271,1.56,0.39,03222023,32.400001525878906,-5e-08,41.56152407280547,17.094146182491894,34.32,3,Mar,4.81,12.05,Net Lease,USD,Medium
STAG,-19,-0.02642770352369394,32.05,22.0,30.095,662,43.0,705.0,1.28,US,STAG INDUSTRIAL INC,REITS,REITS,5743886702.612393,110.4478,0.96549,11.0,36.41,13.603744149765989,1.464,0.122,01302023,32.310001373291016,-0.00804708642030415,36.077041278112546,19.32181601683106,2.684,1,Jan,4.57,6.5,Industrial,USD,Small
KGC,-91,-0.019323671497584557,4.06,1306.0,4.8919999999999995,"6,388",-1073.0,5315.0,9.64,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5111866217.857143,114.1907,0.93316,15.0,5.13,26.354679802955676,0.12,0.03,03082023,,,,,39.18,3,Mar,2.96,-17.01,,USD,Large
BTG,-23,-0.00555555555555556,3.58,1157.0,3.4960000000000004,"4,045",97.0,4142.0,7.52,CA,B2GOLD CORP,Basic Materials,Gold Miners,3844184111.111111,73.83091,0.92943,3.0,4.92,37.430167597765355,0.16,0.04,03032023,3.5699999332427983,0.0028011392000555843,54.913734554281035,37.12650392891782,46.28,3,Mar,4.47,2.4,,USD,Large
MPW,-16,-0.005342831700801469,11.17,261.0,18.022000000000002,"4,704",-1788.0,2915.0,5.29,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,6690640020.480854,55.99483000000001,0.9057700000000001,13.0,15.46,38.40644583706357,1.16,0.29,03152023,11.140000343322754,0.002692967302754854,51.14306115515051,19.971400650482625,75.69,3,Mar,10.38,-38.02,Healthcare,USD,Medium
EQX,-3,-0.021406727828746128,3.2,50.0,6.187,309,-149.0,160.0,0.29,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,976220868.5015293,0.0,0.79787,1.0,4.04,26.249999999999996,0.0,0.0,01011970,3.2799999713897705,-0.02439023539255505,90.18054069508005,41.183871275105965,0.0,1,Jan,0.0,-48.28,,USD,Micro
FPI,2,0.0032206119162641648,12.46,60.0,12.137,728,19.0,748.0,1.36,US,FARMLAND PARTNERS INC,REITS,REITS,680117763.6070852,38.36807,0.77445,5.0,15.6,25.20064205457463,0.24,0.06,03312023,12.460000038146973,-0.0,39.82850397401765,21.222946770771962,3.5999999999999996,3,Mar,1.93,2.66,,USD,Small
VOD,-5,-0.009794319294809149,10.11,66.0,13.764000000000001,908,-240.0,669.0,1.21,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,27716205847.208626,120.4042,0.75163,2.0,15.29,51.23639960435212,0.977,0.467,05242023,,,,,30.822000000000003,5,May,9.66,-26.55,,USD,Small
VNA IBIS,-37,-0.017841213202497864,22.02,93.0,30.685,"2,854",-806.0,2048.0,3.98,DE,VONOVIA SE,REITS,REITS,17524619946.47636,76.87249,0.61017,21.0,36.87,67.43869209809263,1.66,1.66,04192023,22.020000457763672,-2e-08,54.326851562502114,20.707183594189203,154.38,4,Apr,7.54,-28.24,,EUR,Medium
BYG LSE,-5,-0.01713796058269075,1147.0,25.0,1116.5,279,8.0,287.0,0.63,GB,BIG YELLOW GROUP PLC,REITS,REITS,2112956812.3393316,17.80039,0.56596,16.0,1298.81,13.235396687009585,0.446,0.223,01052023,11.470000267028807,-2e-08,51.82931821403729,25.841636554016514,5.575,1,Jan,0.04,2.73,,GBP,Micro
NET.UN VENTURE,8,0.01803278688524581,6.21,70.0,8.016,561,-126.0,435.0,0.58,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,125615700.0,65.55731,0.41185,5.0,8.05,29.62962962962964,0.345,0.02875,01122023,,,42.49621629946196,20.99784712245048,2.0125,1,Jan,5.56,-22.53,,CAD,Micro
COIN,2,0.022426682001150118,35.56,3.0,221.74200000000002,665,-559.0,107.0,0.19,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,8070897177.688327,,,25.0,73.92,107.87401574803148,0.0,0.0,01011970,35.38999938964844,0.004803634170202611,191.45133136078343,58.913156363897144,0.0,1,Jan,0.0,-83.96,,USD,Micro
