Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
STAG,21,0.02,33.22,36.6128,31.788,1164.0,52.0,1216.0,2.02,US,STAG INDUSTRIAL INC,REITS,REITS,6031785636.651827,146.111,1.02081,10.0,37.8,13.786875376279346,1.465,0.1225,11292023,34.51,0.06,36.08,15.98,4.485068,4.47,11,Nov,4.41,4.5,Industrial,USD,Small,32.05,3.65,34.51,-3.74
REI.UN TSE,2,0.01,16.85,26.0,18.22,474.0,-36.0,438.0,0.52,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5026416000.0,138.0603,1.22557,9.0,23.22,37.804154302670604,1.08,0.09,11292023,,,26.45,14.37,2.34,-7.59,11,Nov,6.41,-7.52,Canadian Retail,CAD,Micro,21.13,-20.26,18.07,-6.75
ADC,75,0.02,55.94,67.0,57.881,3878.0,-130.0,3748.0,6.22,US,AGREE REALTY CORP,REITS,REITS,5623072947.327475,172.2073,0.53707,14.0,67.16,20.057204147300677,2.964,0.247,11292023,55.24,-0.18,29.83,12.53,16.549,-3.35,11,Nov,5.3,-3.35,,USD,Large,68.29,-18.08,63.95,-12.53
SAFE,-83,-0.04,15.71,140.0,23.531,3294.0,-1095.0,2199.0,3.65,US,SAFEHOLD INC,REITS,REITS,1116440308.845906,,1.36148,11.0,30.8,96.05346912794398,0.708,0.177,11302023,17.8,-0.43,52.03,30.11,24.779999999999998,-33.24,11,Nov,4.51,-33.24,Ground lease,USD,Medium,46.84,-66.46,24.48,-35.83
AEM,-73,-0.02,46.89,100.0,43.551,4355.0,334.0,4689.0,7.78,CA,AGNICO EAGLE MINES LTD,Basic Materials,Gold Miners,23157760151.38184,30.10192,0.75923,15.0,65.15,38.94220516101515,1.6,0.4,11302023,45.45,-0.08,50.47,22.49,40.0,7.67,11,Nov,3.41,7.67,,USD,Large,50.71,-7.53,51.98,-9.79
OUT,2,0.0,9.76,77.0,22.94,1766.0,-1015.0,752.0,1.25,US,OUTFRONT MEDIA INC,REITS,REITS,1610816891.9847243,,1.77776,5.0,14.6,49.59016393442623,1.2,0.3,11302023,10.1,-0.39,73.27,25.98,23.099999999999998,-57.47,11,Nov,12.3,-57.45,Specialty,USD,Small,16.58,-41.13,9.99,-2.3
KGC,-45,-0.01,5.21,755.0,3.8,2869.0,1065.0,3934.0,6.53,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,6396002305.734843,74.56446,0.91296,13.0,6.12,17.466410748560463,0.12,0.03,11302023,4.56,0.29,58.95,28.11,22.65,37.12,11,Nov,2.3,37.11,,USD,Large,4.06,28.33,4.55,14.51
BTG,0,0.0,3.24,1708.0,3.372,5759.0,-225.0,5534.0,9.18,CA,B2GOLD CORP,Basic Materials,Gold Miners,4190971180.121104,60.55623,0.99547,2.0,4.79,47.8395061728395,0.16,0.04,12052023,2.89,-0.07,54.91,28.17,68.32000000000001,-3.91,12,Dec,4.94,-3.91,,USD,Large,3.58,-9.5,2.85,13.68
SPG,59,0.04,109.89,13.0,70.921,922.0,507.0,1429.0,2.37,US,SIMON PROPERTY GROUP INC,REITS,REITS,35955907644.21263,80.91238,1.60941,15.0,128.47,16.907816907816905,7.6,1.9,12072023,108.03,-0.03,37.33,16.57,24.7,54.99,12,Dec,6.92,54.95,Malls,USD,Small,117.48,-6.46,107.75,1.99
MPW,-18,-0.01,4.76,306.0,16.656,5097.0,-3640.0,1457.0,2.42,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,2848593497.968808,,1.16574,9.0,8.61,80.88235294117648,0.6,0.15,12132023,5.45,-0.54,61.41,30.36,45.9,-71.41,12,Dec,12.61,-71.42,Healthcare,USD,Small,11.17,-57.39,5.46,-12.82
CCI,56,0.03,92.98,20.0,105.178,2104.0,-244.0,1860.0,3.09,US,CROWN CASTLE INC,REITS,REITS,40353321456.90917,131.25,0.67753,16.0,103.38,11.185201118520101,6.26,1.565,12142023,92.03,-0.3,38.58,18.15,31.299999999999997,-11.6,12,Dec,6.73,-11.6,Specialty,USD,Medium,130.08,-28.52,106.55,-12.74
UNIT,79,0.1,4.6,192.0,6.965,1337.0,-454.0,883.0,1.47,US,UNITI GROUP INC,REITS,REITS,1097967280.339512,,1.44453,9.0,5.6,21.73913043478261,0.6,0.15,12142023,4.72,-0.1,66.88,38.66,28.799999999999997,-33.96,12,Dec,13.04,-33.96,Specialty,USD,Small,5.54,-16.97,4.72,-2.54
RICK,37,0.01,54.51,50.969,71.327,3635.0,-857.0,2778.0,4.61,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,512265284.28214747,5.42119,1.65671,3.0,121.33,122.58301229132269,0.24,0.06,12142023,60.66,-0.41,45.77,20.57,3.05814,-23.58,12,Dec,0.44,-23.58,Night Club,USD,Medium,93.19,-41.51,60.66,-10.14
VICI,63,0.03,27.9,88.0,28.916,2545.0,-89.0,2455.0,4.07,US,VICI PROPERTIES INC,REITS,REITS,28863442651.714973,49.03845,0.99587,21.0,35.43,26.989247311827963,1.66,0.415,12202023,29.1,-0.12,36.1,13.96,36.519999999999996,-3.5,12,Dec,5.95,-3.51,Net Lease,USD,Medium,32.4,-13.89,29.1,-4.12
GMRE,28,0.02,8.67,200.0,7.843,1568.0,166.0,1734.0,2.88,US,GLOBAL MEDICAL REIT INC,REITS,REITS,568448097.6165111,263.1561,1.12588,7.0,10.93,26.066897347174162,0.84,0.21,12222023,8.97,-0.04,44.53,18.16,42.0,10.59,12,Dec,9.69,10.54,Healthcare,USD,Small,9.55,-9.21,8.87,-2.25
ARE,-15,-0.02,91.0,28.0,116.658,3266.0,-677.0,2589.0,4.3,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,16070754086.523664,358.8536,1.01158,10.0,139.54,53.340659340659336,4.96,1.24,12282023,100.1,-0.36,33.32,19.11,34.72,-20.73,12,Dec,5.45,-21.99,Office in science,USD,Medium,140.86,-35.4,101.0,-9.9
BYG LSE,7,0.03,955.0,25.0,1116.5,279.0,-40.0,239.0,0.48,GB,BIG YELLOW GROUP PLC,REITS,REITS,1873664719.8275864,112.8716,0.5303,15.0,1162.87,21.766492146596846,0.458,0.229,01032024,,,,,5.7250000000000005,-14.34,1,Jan,0.05,-14.46,UK Self Storage,GBP,Micro,1147.0,-16.74,913.5,4.54
BRNK IBIS,40,0.05,3.855,233.0,12.103,2820.0,-1922.0,898.0,1.58,DE,BRANICKS GROUP AG,REITS,REITS,322145036.4993216,,1.22627,8.0,6.2,60.83009079118029,0.75,0.75,03052024,3.91,-0.49,53.32,30.08,174.75,-68.16,3,Mar,19.46,-68.15,,,Small,,,,
VNA IBIS,167,0.04,21.78,213.5847,23.603,5041.0,-389.0,4652.0,8.17,DE,VONOVIA SE,REITS,REITS,17742962914.285717,,0.71475,20.0,29.2,34.06795224977042,0.85,0.85,05082024,22.81,-0.01,54.33,28.76,181.54699499999998,-7.72,5,May,3.9,-7.72,European Apartments,EUR,Large,22.02,-1.09,22.83,-4.6
