Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
LI SBF,32,0.02,22.9,78.0,13.031,1016.0,771.0,1787.0,3.14,FR,KLEPIERRE,REITS,REITS,6571989073.777778,6.0193,1.79879,17.0,23.5,2.620087336244548,0.0,0.0,01012000,23.23,0.11,40.14,17.09,0.0,75.89,1,Jan,0.0,75.73,European Malls,EUR,Medium,21.53,6.36,0.0,inf
MGDPF,23,0.01,0.4351,4500.0,0.59205,2664.0,-706.0,1958.0,3.25,CA,MARATHON GOLD CORP,Basic Materials,Gold Miners,175126201.33898306,,1.4874,,,,0.0,0.0,01012000,0.44,-0.43,90.67,56.32,0.0,-26.5,1,Jan,0.0,-26.51,,USD,Medium,0.76,-42.75,0.4371,-0.46
EQX,-4,-0.02,4.4,50.0,6.187,309.0,-89.0,220.0,0.37,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1377115753.6789143,0.0,1.00728,1.0,6.31,43.409090909090885,0.0,0.0,01012000,4.23,0.34,90.18,40.19,0.0,-28.8,1,Jan,0.0,-28.88,,USD,Micro,3.2,37.5,4.23,4.02
IAUX,-100,-0.02,1.42,2500.0,2.102,5254.0,-1729.0,3525.0,5.85,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,419058225.25561154,,,,,,0.0,0.0,01012000,1.53,-0.5,84.76,42.98,0.0,-32.91,1,Jan,0.0,-32.45,,USD,Medium,2.82,-49.65,1.56,-8.97
COIN,9,0.04,76.74,3.0,221.742,665.0,-435.0,230.0,0.38,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,18199884078.330578,,,22.0,85.27,11.115454782382072,0.0,0.0,01012000,75.08,1.17,130.99,57.58,0.0,-65.41,1,Jan,0.0,-65.39,,USD,Micro,35.56,115.8,75.03,2.28
LAC,0,0.0,6.73,55.0,4.587,252.0,117.0,369.0,0.61,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,1073920000.0,,,6.0,13.92,106.83506686478452,0.0,0.0,01012000,,,,,0.0,46.43,1,Jan,0.0,46.72,,USD,Micro,18.99,-64.56,17.34,-61.19
MAC,-5,-0.0,9.72,115.0,7.646,879.0,239.0,1118.0,1.85,US,MACERICH CO/THE,REITS,REITS,2092287819.77462,,2.23108,11.0,11.82,21.604938271604933,0.68,0.17,11082023,10.91,-0.11,54.36,27.48,19.55,27.19,11,Nov,7.0,27.13,Malls,USD,Small,11.26,-13.68,10.91,-10.91
NET.UN VENTURE,0,0.0,4.75,70.0,8.016,561.0,-229.0,333.0,0.4,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,97510380.0,712.2211,0.46359,5.0,5.88,23.789473684210524,0.345,0.02875,11142023,,,58.71,21.94,2.0125,-40.82,11,Nov,7.26,-40.74,Canadian Net Lease,CAD,Micro,6.21,-23.51,4.74,0.21
VOD,-10,-0.02,9.23,66.0,13.764,908.0,-299.0,609.0,1.01,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,24876226378.198875,20.71296,0.72224,2.0,14.31,55.037919826652214,0.976,0.488,11222023,9.48,-0.04,35.75,17.99,32.208,-32.93,11,Nov,10.57,-32.94,,USD,Small,10.11,-8.7,9.48,-2.64
EPR,79,0.03,42.7,62.0,40.396,2505.0,143.0,2647.0,4.39,US,EPR PROPERTIES,REITS,REITS,3216566424.838432,170.4047,1.69256,10.0,46.65,9.250585480093667,3.3,0.275,11292023,41.54,0.2,35.51,18.52,17.05,5.71,11,Nov,7.73,5.7,Net Lease,USD,Medium,37.72,13.2,41.16,3.74
