Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
ARE,-21,-0.01,125.68,25.0,118.556,2964.0,178.0,3142.0,4.71,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,21746186630.940136,148.7466,0.94577,9.0,158.44,26.066199872692543,4.96,1.24,09282023,113.49,-0.13,33.32,18.92,31.0,6.01,9,Sep,3.95,6.01,Office in science,USD,Medium,142.65,-11.9,113.49,10.74
BTG,39,0.01,3.47,1308.0,3.477,4547.0,-8.0,4539.0,6.8,CA,B2GOLD CORP,Basic Materials,Gold Miners,4495127265.633856,66.96924,0.96337,3.0,4.93,42.07492795389047,0.16,0.04,09192023,3.57,-0.02,54.91,28.17,52.32,-0.18,9,Sep,4.61,-0.2,,USD,Large,3.58,-3.07,3.55,-2.25
BYG LSE,0,0.0,1073.0,25.0,1116.5,279.0,-11.0,268.0,0.52,GB,BIG YELLOW GROUP PLC,REITS,REITS,1977545005.597015,112.8716,0.57525,15.0,1206.2,12.41379310344828,0.458,0.229,01032024,10.73,-0.05,51.83,26.86,5.7250000000000005,-3.94,1,Jan,0.04,-3.9,UK Self Storage,GBP,Micro,1147.0,-6.45,1073.0,0.0
CCI,3,-0.01,108.29,13.0,108.038,1404.0,3.0,1408.0,2.11,US,CROWN CASTLE INC,REITS,REITS,46997860397.33887,116.7644,0.64523,17.0,129.12,19.235386462277216,6.26,1.565,09142023,113.94,-0.19,38.58,19.7,20.345,0.21,9,Sep,5.78,0.23,Specialty,USD,Small,132.2,-18.09,113.94,-4.96
COIN,12,0.04,98.61,3.0,221.742,665.0,-369.0,296.0,0.44,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,23130164041.434628,,,22.0,79.73,-19.14613122401379,0.0,0.0,01012000,71.55,1.79,152.84,78.41,0.0,-55.49,1,Jan,0.0,-55.53,,USD,Micro,35.56,177.31,71.52,37.88
DIC IBIS,5,0.0,4.5,233.0,12.103,2820.0,-1771.0,1049.0,1.73,DE,DIC ASSET AG,REITS,REITS,376044810.2678571,287.0081,1.17383,8.0,7.0,55.55555555555556,0.75,0.75,03052024,,,,,174.75,-62.8,3,Mar,16.67,-62.82,European Office/Assets management,EUR,Small,7.62,-40.94,5.19,-13.29
EPR,59,0.02,44.64,62.0,40.396,2505.0,263.0,2768.0,4.15,US,EPR PROPERTIES,REITS,REITS,3360465232.1488724,147.8738,1.6597,9.0,49.28,10.394265232974911,3.3,0.275,08302023,46.8,0.23,36.86,20.91,17.05,10.5,8,Aug,7.39,10.51,Net Lease,USD,Medium,37.72,18.35,46.8,-4.62
EQX,11,0.04,5.27,50.0,6.187,309.0,-46.0,264.0,0.39,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1649062148.1818173,,0.95109,1.0,6.81,29.22201138519924,0.0,0.0,01012000,4.58,0.61,90.18,43.71,0.0,-14.89,1,Jan,0.0,-14.82,,USD,Micro,3.2,64.69,4.58,15.07
GMRE,2,0.0,9.9,200.0,7.843,1568.0,412.0,1980.0,2.97,US,GLOBAL MEDICAL REIT INC,REITS,REITS,648744172.1712543,485.6009,1.10687,7.0,10.54,6.464646464646452,0.84,0.21,09222023,9.13,0.07,44.53,20.8,42.0,26.28,9,Sep,8.48,26.23,Healthcare,USD,Small,9.55,3.66,9.13,8.43
GRPN,-72,-0.02,7.9,495.6932,5.181,2568.0,1348.0,3916.0,5.87,US,GROUPON INC,Communications,Internet,243253523.13539565,,1.7778,4.0,4.72,-40.25316455696203,0.0,0.0,01012000,5.91,-0.08,134.93,61.04,0.0,52.49,1,Jan,0.0,52.48,,USD,Medium,8.7,-9.2,5.91,33.67
