Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
IAUX,-3,0.0,2.04,1700.0,2.208,3753.0,-285.0,3468.0,5.19,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,566642144.0509171,,,,,,0.0,0.0,01012000,2.25,-0.28,84.76,42.98,0.0,-7.59,1,Jan,0.0,-7.61,,USD,Medium,2.82,-27.66,2.25,-9.33
KGC,91,0.02,4.98,755.0,3.8,2869.0,891.0,3760.0,5.63,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,6126206752.435441,380.7018,0.99238,15.0,5.96,19.67871485943774,0.12,0.03,08172023,4.77,0.24,59.51,28.92,22.65,31.06,8,Aug,2.41,31.05,,USD,Medium,4.06,22.66,4.77,4.4
LAC,38,0.04,20.18,55.0,7.509,413.0,697.0,1110.0,1.66,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3227163077.0229697,,1.46382,10.0,34.98,73.33994053518333,0.0,0.0,01012000,20.21,0.06,71.46,32.44,0.0,168.77,1,Jan,0.0,168.74,,USD,Small,18.99,6.27,20.19,-0.05
LI SBF,9,0.0,24.15,78.0,13.031,1016.0,867.0,1884.0,3.1,FR,KLEPIERRE,REITS,REITS,6927697621.436365,62.30606,1.77315,16.0,23.0,-4.761904761904756,0.0,0.0,01012000,22.72,0.17,42.53,20.3,0.0,85.33,1,Jan,0.0,85.33,European Malls,EUR,Medium,21.53,12.17,22.83,5.78
MAC,14,0.01,12.75,115.0,7.646,879.0,587.0,1466.0,2.2,US,MACERICH CO/THE,REITS,REITS,2742464429.928741,,2.18915,11.0,11.36,-10.90196078431373,0.68,0.17,08172023,11.27,0.17,54.36,31.48,19.55,66.78,8,Aug,5.33,66.75,Malls,USD,Small,11.26,13.23,11.27,13.13
MGDPF,3,-0.0,0.595,3500.0,0.61272,2145.0,-52.0,2093.0,3.14,CA,MARATHON GOLD CORP,Basic Materials,Gold Miners,241185808.5,,1.46037,,,,0.0,0.0,01012000,0.62,-0.22,100.12,59.0,0.0,-2.42,1,Jan,0.0,-2.89,,USD,Medium,0.76,-21.71,0.6195,-3.95
MPW,12,0.0,10.09,306.0,16.656,5097.0,-2009.0,3088.0,4.62,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,6036847091.293334,231.4922,1.01578,11.0,11.91,18.037661050545097,1.16,0.29,09132023,9.26,-0.06,55.32,25.76,88.74,-39.42,9,Sep,11.5,-39.42,Healthcare,USD,Medium,11.17,-9.67,9.26,8.96
NET.UN VENTURE,13,,5.07,70.0,8.016,561.0,-194.0,368.0,0.42,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,108002855.0295858,,0.48782,5.0,6.59,29.98027613412228,0.345,0.02875,08142023,,,58.71,24.11,2.0125,-34.58,8,Aug,6.8,-36.75,Canadian Net Lease,CAD,Micro,6.21,-18.36,5.0,1.4
OUT,17,0.01,15.46,77.0,22.94,1766.0,-576.0,1190.0,1.78,US,OUTFRONT MEDIA INC,REITS,REITS,2550698133.59034,179.2384,1.72138,5.0,25.6,65.58861578266495,1.2,0.3,08312023,15.72,-0.03,57.0,25.98,23.099999999999998,-32.62,8,Aug,7.76,-32.61,Specialty,USD,Small,16.58,-6.76,15.72,-1.65
REI.UN TSE,2,0.01,20.08,26.0,18.22,474.0,48.0,521.0,0.59,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,6025767102.872775,160.3812,1.17596,8.0,24.56,22.31075697211156,1.08,0.09,08302023,,,26.45,15.01,2.34,10.13,8,Aug,5.38,10.21,Canadian Retail,CAD,Micro,21.13,-4.97,19.28,4.15
RICK,55,0.02,69.75,50.969,71.327,3635.0,-80.0,3555.0,5.33,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,657758142.2018349,4.57819,1.63289,3.0,133.33,91.1541218637993,0.24,0.06,09112023,75.99,-0.25,49.15,24.64,3.05814,-2.2,9,Sep,0.34,-2.21,Night Club,USD,Medium,93.19,-25.15,75.99,-8.21
SAFE,0,0.0,24.73,100.0,24.974,2497.0,-24.0,2473.0,3.7,US,SAFEHOLD INC,REITS,REITS,1581267970.7300022,,1.2887,8.0,37.72,52.52729478366356,0.0,0.0,01012000,23.73,-0.11,,,0.0,-0.96,1,Jan,0.0,-0.98,Ground lease,USD,Medium,47.32,-47.74,23.73,4.21
SPG,2,0.0,124.6,13.0,70.921,922.0,698.0,1620.0,2.43,US,SIMON PROPERTY GROUP INC,REITS,REITS,40743759076.87846,106.9417,1.55099,14.0,131.57,5.59390048154093,7.4,1.85,09072023,115.48,0.1,37.33,19.72,24.05,75.7,9,Sep,5.94,75.69,Malls,USD,Small,117.48,6.06,115.48,7.9
STAG,-1,-0.0,36.3,36.6128,31.788,1164.0,165.0,1329.0,1.99,US,STAG INDUSTRIAL INC,REITS,REITS,6521814933.116922,135.4496,1.00831,10.0,38.0,4.68319559228651,1.465,0.1225,08302023,35.88,0.15,36.08,17.81,4.485068,14.18,8,Aug,4.04,14.19,Industrial,USD,Small,32.05,13.26,35.88,1.17
UNIT,27,0.03,5.58,192.0,6.965,1337.0,-266.0,1071.0,1.6,US,UNITI GROUP INC,REITS,REITS,1331238224.445371,,1.40666,9.0,5.56,-0.3584229390681086,0.6,0.15,09142023,4.62,0.05,66.88,27.59,28.799999999999997,-19.9,9,Sep,10.75,-19.89,Specialty,USD,Small,5.54,0.72,4.62,20.78
VICI,-27,-0.01,31.48,88.0,28.916,2545.0,226.0,2770.0,4.15,US,VICI PROPERTIES INC,REITS,REITS,31902716818.253628,71.70915,0.95454,20.0,37.52,19.186785260482857,1.56,0.39,09202023,31.43,-0.02,36.1,16.43,34.32,8.88,9,Sep,4.96,8.87,Net Lease,USD,Medium,32.4,-2.84,31.43,0.16
VNA IBIS,0,-0.0,21.17,213.5847,23.603,5041.0,-507.0,4534.0,7.47,DE,VONOVIA SE,REITS,REITS,17294910000.0,NoMD,0.70485,21.0,30.9,45.96126594237126,0.85,0.85,05082024,0.0,0.0,0.0,0.0,181.54699499999998,-10.06,5,May,4.02,-10.31,European Apartments,EUR,Large,22.02,-3.86,17.88,18.4
VOD,-9,-0.01,9.62,66.0,13.764,908.0,-273.0,635.0,0.95,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,25866591158.953934,20.71296,0.76413,3.0,13.63,41.68399168399171,0.976,0.488,11222023,9.45,0.0,35.83,18.77,32.208,-30.07,11,Nov,10.15,-30.11,,USD,Micro,10.11,-4.85,9.45,1.8
