,Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
13,GMRE,8,0.0,9.13,200.0,7.843,1568.0,258.0,1826.0,3.11,US,GLOBAL MEDICAL REIT INC,REITS,REITS,598286396.4981818,485.6009,1.09313,7.0,10.46,14.56736035049288,0.84,0.21,09222023,8.72,-0.01,44.53,20.8,42.0,16.45,9,Sep,9.2,16.41,Healthcare,USD,Medium,9.55,-4.4,9.28,-1.62
14,VOD,3,0.0,9.45,66.0,13.764,908.0,-285.0,624.0,1.06,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,25473202567.687325,20.71296,0.76651,3.0,13.38,41.5873015873016,0.976,0.488,11222023,9.48,-0.07,35.83,18.77,32.208,-31.39,11,Nov,10.33,-31.34,,USD,Small,10.11,-6.53,11.95,-20.92
15,STAG,5,0.0,35.88,36.6128,31.788,1164.0,150.0,1314.0,2.23,US,STAG INDUSTRIAL INC,REITS,REITS,6436037936.418765,150.0298,1.0116,10.0,36.95,2.982162764771461,1.464,0.122,07282023,34.8,0.13,36.08,17.81,4.4667616,12.89,7,Jul,4.08,12.87,Industrial,USD,Small,32.05,11.95,33.87,5.93
16,VICI,4,0.0,31.43,88.0,28.916,2545.0,221.0,2766.0,4.7,US,VICI PROPERTIES INC,REITS,REITS,31563212224.888607,106.8449,0.9571,21.0,37.83,20.362710785873364,1.56,0.39,09202023,30.93,-0.02,39.3,16.43,34.32,8.68,9,Sep,4.96,8.69,Net Lease,USD,Medium,32.4,-2.99,33.94,-7.4
17,MPW,3,0.0,9.26,306.0,16.656,5097.0,-2263.0,2834.0,4.82,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,5540198225.688934,231.4922,1.00481,11.0,12.0,29.589632829373652,1.16,0.29,09132023,8.25,-0.14,55.32,25.76,88.74,-44.4,9,Sep,12.53,-44.4,Healthcare,USD,Medium,11.17,-17.1,8.82,4.99
18,ARE,3,0.0,113.49,25.0,118.556,2964.0,-127.0,2837.0,4.82,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,19635311260.46397,108.8433,0.94109,8.0,163.88,44.40038769935678,4.96,1.24,09282023,113.46,-0.21,33.26,18.92,31.0,-4.28,9,Sep,4.37,-4.27,Office in science,USD,Medium,142.65,-20.44,124.18,-8.61
19,BRX,0,0.0,21.99,43.0,11.716,504.0,442.0,946.0,1.61,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,6609043408.007183,78.52171,1.55698,17.0,24.56,11.687130513869944,1.04,0.26,07032023,20.03,-0.01,39.4,21.6,11.18,87.7,7,Jul,4.73,87.69,Retail,USD,Small,22.67,-3.0,21.33,3.09
20,MGDPF,-2,-0.0,0.6195,3500.0,0.61272,2145.0,24.0,2168.0,3.69,CA,MARATHON GOLD CORP,Basic Materials,Gold Miners,245124133.19277117,,1.47108,,,,0.0,0.0,01012000,0.59,-0.19,103.16,59.0,0.0,1.12,1,Jan,0.0,1.11,,USD,Medium,0.76,-18.49,0.64,-3.2
21,KGC,-15,-0.0,4.77,755.0,3.8,2869.0,725.0,3594.0,6.11,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5843200318.881573,380.7018,0.99801,15.0,6.07,27.253668763102745,0.12,0.03,08172023,4.71,0.18,59.51,32.62,22.65,25.27,8,Aug,2.52,25.53,,USD,Large,4.06,17.49,5.03,-5.17
22,EPR,-11,-0.0,46.8,62.0,40.396,2505.0,397.0,2902.0,4.93,US,EPR PROPERTIES,REITS,REITS,3523068471.414697,147.8738,1.67313,8.0,45.5,-2.777777777777772,3.3,0.275,07282023,41.71,0.28,36.86,21.38,17.05,15.85,7,Jul,7.05,15.85,Net Lease,USD,Medium,37.72,24.07,41.8,11.96
23,MAC,-9,-0.01,11.27,115.0,7.646,879.0,417.0,1296.0,2.2,US,MACERICH CO/THE,REITS,REITS,2424123479.0795283,,2.18231,11.0,11.27,0.0,0.68,0.17,08172023,9.64,0.03,55.24,31.48,19.55,47.44,8,Aug,6.03,47.4,Malls,USD,Small,11.26,0.09,9.98,12.93
24,UNIT,-13,-0.01,4.62,192.0,6.965,1337.0,-450.0,887.0,1.51,US,UNITI GROUP INC,REITS,REITS,1102207853.2944863,,1.35773,9.0,5.33,15.367965367965366,0.6,0.15,09142023,3.72,-0.13,66.88,27.59,28.799999999999997,-33.66,9,Sep,12.99,-33.67,Specialty,USD,Small,5.54,-16.61,3.42,35.09
25,COIN,-3,-0.01,71.52,3.0,221.742,665.0,-451.0,215.0,0.36,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,16775877738.063612,,,24.0,69.63,-2.6426174496644306,0.0,0.0,01012000,62.2,1.02,152.84,78.41,0.0,-67.82,1,Jan,0.0,-67.75,,USD,Micro,35.56,101.12,53.86,32.79
26,GRPN,-181,-0.06,5.91,495.6932,5.181,2568.0,361.0,2930.0,4.98,US,GROUPON INC,Communications,Internet,181978266.53663665,,1.7672,4.0,4.72,-20.13536379018613,0.0,0.0,01012000,5.4,-0.31,134.93,61.04,0.0,14.06,1,Jan,0.0,14.07,,USD,Medium,8.7,-32.07,3.58,65.08
