Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
NET.UN VENTURE,0.0,,5.01,70.0,8.016,561.0,-210.0,351.0,0.35,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,102790700.0,154.838,0.58432,4.0,5.69,13.572854291417178,0.345,0.02875,04122024,,,58.71,15.1,2.0125,-37.43,4.0,Apr,6.89,-37.5,Canadian Net Lease,CAD,Micro,4.85,3.3,4.87,2.87
MPW,0.0,0.0,4.7,306.0,16.656,5097.0,-3658.0,1438.0,1.96,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,,,,9.0,5.12,8.936170212765955,0.6,0.15,06132024,4.7,-0.04,101.97,30.36,45.9,-71.77,6.0,Jun,12.77,-71.78,Healthcare,USD,Small,4.93,-4.67,4.21,11.64
ARE,0.0,,128.91,28.0,116.658,3266.0,343.0,3609.0,4.92,US,ALEXANDRIA REAL ESTATE EQUIT,REITS,REITS,22552070000.0,930.4833,1.06286,13.0,141.0,9.37863625785432,5.08,1.27,06282024,128.91,,36.44,19.11,35.56,10.5,6.0,Jun,3.94,10.5,Office in science,USD,Medium,126.77,1.69,124.73,3.35
NLCP,0.0,,19.05,100.0,13.934,1393.0,512.0,1905.0,2.6,US,NEWLAKE CAPITAL PARTNERS INC,REITS,REITS,390592100.0,133.8621,,1.0,18.25,-4.199475065616801,1.64,0.41,06282024,19.05,,66.6,23.2,41.0,36.76,6.0,Jun,8.61,36.72,Specialty,USD,Small,16.01,18.99,16.1,18.32
SAFE,0.0,,20.6,140.0,23.53,3294.0,-410.0,2884.0,3.93,US,SAFEHOLD INC,REITS,REITS,1464182000.0,,1.45525,12.0,27.58,33.883495145631045,0.708,0.177,06282024,,,,,24.779999999999998,-12.45,6.0,Jun,3.44,-12.45,Ground lease,USD,Medium,23.4,-11.97,20.12,2.39
STAG,0.0,,38.44,36.6128,31.788,1164.0,244.0,1407.0,1.92,US,STAG INDUSTRIAL INC,REITS,REITS,6989724000.0,137.7422,1.01611,10.0,40.1,4.318418314255993,1.476,0.123,04292024,38.44,,26.48,15.98,4.5033744,20.96,4.0,Apr,3.84,20.93,Industrial,USD,Small,39.26,-2.09,37.14,3.5
CCI,0.0,,105.83,20.0,104.165,2083.0,33.0,2117.0,2.89,US,CROWN CASTLE INC,REITS,REITS,45985250000.0,181.479,0.7424,15.0,116.53,10.110554663139,6.26,1.565,06142024,105.83,,34.39,18.15,31.299999999999997,1.58,6.0,Jun,5.92,1.6,Specialty,USD,Small,115.2,-8.13,109.94,-3.74
MAC,0.0,,17.23,115.0,7.646,879.0,1102.0,1981.0,2.7,US,MACERICH CO/THE,REITS,REITS,3716857000.0,,2.38197,11.0,16.5,-4.236796285548464,0.68,0.17,05162024,17.23,,50.2,27.48,19.55,125.37,5.0,May,3.95,125.35,Malls,USD,Small,15.43,11.67,16.41,5.0
RICK,0.0,,58.0,50.969,71.327,3635.0,-679.0,2956.0,4.03,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",REITS,542861800.0,8.56141,1.65559,2.0,113.5,95.6896551724138,0.24,0.06,06122024,58.0,,39.11,20.57,3.05814,-18.68,6.0,Jun,0.41,-18.68,Night Club,USD,Medium,66.26,-12.47,56.36,2.91
VOD,0.0,,8.9,66.0,13.764,908.0,-321.0,587.0,0.8,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,24083410000.0,23.1582,0.70798,3.0,14.41,61.91011235955056,0.96,0.48,06072024,8.9,,35.44,17.99,31.68,-35.35,6.0,Jun,10.79,-35.34,,USD,Micro,8.7,2.3,8.95,-0.56
OUT,0.0,,16.79,77.0,22.87,1761.0,-468.0,1293.0,1.76,US,OUTFRONT MEDIA INC,REITS,REITS,2785083000.0,,1.8792,4.0,16.75,-0.23823704586062627,1.2,0.3,06072024,16.79,,73.27,25.98,23.099999999999998,-26.58,6.0,Jun,7.15,-26.59,Specialty,USD,Small,13.96,20.27,14.37,16.84
REI.UN TSE,0.0,,18.47,26.0,18.22,474.0,7.0,480.0,0.48,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,5540251000.0,832.2355,1.26371,10.0,21.63,17.10882512181917,1.11,0.0925,04292024,,,25.57,14.37,2.405,1.48,4.0,Apr,6.01,1.37,Canadian Retail,CAD,Micro,18.62,-0.81,17.92,3.07
ADC,0.0,,57.12,67.0,57.835,3875.0,-48.0,3827.0,5.22,US,AGREE REALTY CORP,REITS,REITS,5741666000.0,173.2482,0.52169,16.0,66.47,16.36904761904762,2.964,0.247,04292024,57.12,,23.17,12.53,16.549,-1.24,4.0,Apr,5.19,-1.24,Net Lease,USD,Medium,62.95,-9.26,54.95,3.95
UNIT,-2.0,,5.9,192.0,6.965,1337.0,-206.0,1131.0,1.54,US,UNITI GROUP INC,REITS,REITS,1406248449.4791193,,1.41705,9.0,6.56,11.186440677966088,0.6,0.15,06142024,5.9,,66.88,40.93,28.799999999999997,-15.41,6.0,Jun,10.17,-15.29,Specialty,USD,Small,5.78,2.08,5.94,-0.67
GMRE,-10.0,,8.75,200.0,7.689,1538.0,202.0,1740.0,2.37,US,GLOBAL MEDICAL REIT INC,REITS,REITS,570498560.0640761,372.3007,1.14658,6.0,10.79,23.314285714285703,0.84,0.21,06242024,8.75,,35.27,18.16,42.0,13.13,6.0,Jun,9.6,13.8,Healthcare,USD,Small,11.1,-21.17,8.95,-2.23
COIN,,,,,,,,,,,,Financial,Bitcoin,,,,,,,,,,,,,,,,,,,,,USD,,171.72,,201.36,
