Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Unrealized PnL,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size,YE_price,YtD price return,MtD_price,MtD price return
BTG,81.0,0.01,2.63,2708.0,3.118,8441.0,-1292.0,7149.0,9.75,CA,B2GOLD CORP,Basic Materials,Gold Miners,3439525995.829408,1981.935,1.13967,5.0,4.23,60.83650190114071,0.16,0.04,06142024,2.61,-0.17,39.23,28.17,108.32000000000001,-15.31,6.0,Jun,6.08,-15.65,,USD,Large,3.17,-17.03,2.4,9.58
IAUX,31.0,,1.34,3100.0,1.957,6066.0,-1881.0,4185.0,5.71,CA,I-80 GOLD CORP,Basic Materials,Gold Miners,,,,,,,0.0,0.0,01012000,1.34,,71.56,42.98,0.0,-31.01,1.0,Jan,0.0,-31.53,,USD,Medium,1.79,-25.14,1.26,6.35
NEM,31.0,0.03,37.08,100.0,35.681,3568.0,47.0,3615.0,4.93,US,NEWMONT CORP,Basic Materials,Gold Miners,41673245676.42381,,0.51581,20.0,46.52,25.458468176914796,1.0,0.25,06062024,35.84,-0.1,36.55,20.6,25.0,1.32,6.0,Jun,2.7,3.92,,USD,Medium,45.01,-17.62,31.01,19.57
AEM,28.0,0.01,60.5,100.0,43.551,4355.0,1638.0,5993.0,8.17,CA,AGNICO EAGLE MINES LTD,Basic Materials,Gold Miners,29837594180.66265,39.9894,0.99006,17.0,66.58,10.0495867768595,1.6,0.4,05312024,59.65,0.1,37.77,22.49,40.0,37.61,5.0,May,2.64,38.92,,USD,Large,54.16,11.71,48.06,25.88
VNA IBIS,11.0,,27.25,213.5847,23.603,5041.0,790.0,5831.0,8.57,DE,VONOVIA SE,REITS,REITS,22239804889.42418,,0.74837,22.0,32.0,17.431192660550458,0.9,0.9,05092024,27.4,,52.74,28.59,192.22623000000002,15.67,5.0,May,3.3,15.45,European Apartments,EUR,Large,28.54,-4.52,25.77,5.74
VICI,9.0,,29.79,88.0,28.89,2542.0,88.0,2630.0,3.59,US,VICI PROPERTIES INC,REITS,REITS,31179363059.19083,65.2837,0.91704,22.0,35.73,19.939577039274916,1.66,0.415,06202024,29.79,,24.27,13.96,36.519999999999996,3.46,6.0,Jun,5.57,3.12,Net Lease,USD,Medium,31.75,-6.17,29.93,-0.47
LI SBF,6.0,,23.92,78.0,13.031,1016.0,856.0,1872.0,2.75,FR,KLEPIERRE,REITS,REITS,6884668000.0,251.6522,1.78307,16.0,24.8,3.678929765886283,0.0,0.0,01012000,24.0,,38.14,16.78,0.0,84.25,1.0,Jan,0.0,83.56,European Malls,EUR,Small,24.68,-3.08,23.48,1.87
BYG LSE,2.0,,1057.0,25.0,1116.5,279.0,-13.0,266.0,0.46,GB,BIG YELLOW GROUP PLC,REITS,REITS,2087518000.0,46.03304,0.59757,15.0,1202.87,13.800378429517494,0.452,0.226,07022024,10.64,,39.38,26.86,5.65,-4.66,7.0,Jul,0.04,-5.33,UK Self Storage,GBP,Micro,1222.0,-13.5,1003.0,5.38
BRNK IBIS,1.0,,1.448,433.0,7.453,3227.0,-2599.0,628.0,0.92,DE,BRANICKS GROUP AG,REITS,REITS,121170039.14645956,,1.0342,8.0,3.5,141.71270718232046,0.75,0.75,03042025,1.42,,140.07,30.23,324.75,-80.54,3.0,Mar,51.8,-80.57,European Office/Assets management,EUR,Micro,3.375,-57.1,1.258,15.1
EPR,0.0,,42.45,62.0,39.451,2446.0,186.0,2632.0,3.59,US,EPR PROPERTIES,REITS,REITS,3212657000.0,166.9096,1.65099,9.0,46.89,10.459363957597168,3.433,0.285,04292024,42.45,,28.64,17.43,17.669999999999998,7.6,4.0,Apr,8.09,7.6,Net Lease,USD,Medium,48.45,-12.38,41.08,3.33
