Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
BEI.UN TSE,-3,-0.002396644697423556,49.95,11.0,27.463,302,246.0,548.0,0.73,CA,BOARDWALK REAL ESTATE INVEST,REITS,REITS,2278830733.55955,12.03652,1.7403400000000002,11.0,60.32,20.760760760760753,1.08,0.09,12292022,,,35.578107056033026,19.07830105995364,0.99,12,Dec,2.16,81.88,,CAD,Micro
EPR,48,0.020603384841795344,41.61,57.0,40.762,"2,323",48.0,2372.0,4.25,US,EPR PROPERTIES,REITS,REITS,3121625723.493406,154.19899999999998,1.61151,8.0,47.38,13.866858928142282,3.3,0.275,12292022,38.599998474121094,-0.07133597367479838,42.642897129830324,21.99365463692691,15.675,12,Dec,7.93,2.08,Net Lease,USD,Medium
STAG,22,0.031338138514572345,32.91,22.0,30.095,662,62.0,724.0,1.3,US,STAG INDUSTRIAL INC,REITS,REITS,5898012393.8383255,110.4478,0.9887100000000001,11.0,36.05,9.541172895776363,1.464,0.122,12292022,31.59000015258789,-0.28921777662653003,36.077041278112546,19.32181601683106,2.684,12,Dec,4.45,9.35,Industrial,USD,Small
REI.UN TSE,-3,-0.007052186177715025,21.12,26.0,18.22,474,76.0,550.0,0.73,CA,RIOCAN REAL ESTATE INVST TR,REITS,REITS,6414158079.033095,68.50806999999999,1.1999600000000001,8.0,23.88,13.06818181818181,1.02,0.085,12292022,,,27.54242986283144,14.951722550090365,2.21,12,Dec,4.83,15.92,,CAD,Micro
GMRE,84,0.0427263479145473,10.25,200.0,7.843,"1,568",482.0,2050.0,3.68,US,GLOBAL MEDICAL REIT INC,REITS,REITS,671562586.4699898,325.2969,1.05265,7.0,11.57,12.878048780487807,0.84,0.21,12232022,9.140000343322754,-0.3906716368833131,44.53212209701778,20.584315815756472,42.0,12,Dec,8.2,30.69,Healthcare,USD,Medium
VICI,47,0.015741015741015774,34.2,88.0,28.916,"2,545",465.0,3010.0,5.4,US,VICI PROPERTIES INC,REITS,REITS,34110148310.682564,175.6538,1.01037,20.0,37.26,8.947368421052616,1.56,0.39,12222022,32.02000045776367,0.17923712895822624,41.56152407280547,17.094146182491894,34.32,12,Dec,4.56,18.27,Net Lease,USD,Medium
UNIT,23,0.03673469387755096,7.62,85.0,10.982999999999999,934,-286.0,648.0,1.16,US,UNITI GROUP INC,REITS,REITS,1807463972.8546145,,1.17777,10.0,10.1,32.54593175853018,0.6,0.15,12152022,7.760000228881836,-0.43248678230272536,57.77273190559247,26.86236742042261,12.75,12,Dec,7.87,-30.62,Specialty,USD,Small
NET.UN VENTURE,-6,-0.015151515151515232,6.5,70.0,8.016,561,-105.0,456.0,0.61,CA,CANADIAN NET REAL ESTATE INV,REITS,REITS,134058659.25875579,65.55731,0.39186,5.0,8.05,23.846153846153857,0.34455,0.0283,12142022,,,42.49621629946196,20.99784712245048,1.9809999999999999,12,Dec,5.3,-18.91,,CAD,Micro
RICK,-2,-0.00054903,91.02,35.0,69.23100000000001,"2,423",763.0,3186.0,5.71,US,RCI HOSPITALITY HOLDINGS INC,"Consumer, Cyclical",Entertainment,841384071.593037,6.36646,1.7654599999999998,4.0,112.5,23.59920896506263,0.2,0.05,12142022,84.43000030517578,0.17174075813962486,61.541501088488246,39.238451230990826,1.75,12,Dec,0.22,31.47,,USD,Medium
SPG,26,0.016856802315681846,119.44,13.0,70.921,922,631.0,1553.0,2.78,US,SIMON PROPERTY GROUP INC,REITS,REITS,40957579403.51141,112.8539,1.53616,15.0,122.07,2.201942397856661,7.2,1.8,12082022,108.9800033569336,-0.21807389500623836,45.266951454178226,24.122266787911485,23.400000000000002,12,Dec,6.03,68.41,Malls,USD,Small
MPW,37,0.010785824345146423,13.12,261.0,18.022000000000002,"4,704",-1279.0,3424.0,6.14,US,MEDICAL PROPERTIES TRUST INC,REITS,REITS,7858656547.7846575,55.99483000000001,0.8536799999999999,13.0,16.69,27.21036585365855,1.16,0.29,12072022,11.449999809265135,-0.4137255910359571,51.14306115515051,19.971400650482625,75.69,12,Dec,8.84,-27.2,Healthcare,USD,Large
BTG,40,0.011560693641618507,3.5,1006.0,3.522,"3,543",-22.0,3521.0,6.31,CA,B2GOLD CORP,Basic Materials,Gold Miners,3780834903.640257,73.83091,0.9746299999999999,3.0,4.92,40.57142857142857,0.16,0.04,12062022,3.0699999332427983,-0.0805201527432261,54.913734554281035,37.12650392891782,40.24,12,Dec,4.57,-0.62,,USD,Large
AGI,36,0.023206751054852388,9.7,162.0,7.426,"1,203",368.0,1571.0,2.82,CA,ALAMOS GOLD INC-CLASS A,Basic Materials,Gold Miners,3808769917.3607454,150.0,1.1131799999999998,5.0,9.94,2.4742268041237137,0.1,0.025,12052022,7.889999866485597,0.2738803169450081,57.288398645884364,33.47123963515768,4.05,12,Dec,1.03,30.62,,USD,Small
OUT,6,0.004393190554640214,18.29,77.0,22.94,"1,766",-358.0,1408.0,2.53,US,OUTFRONT MEDIA INC,REITS,REITS,3002369438.041088,113.8655,1.7042400000000002,6.0,27.0,47.62165117550575,1.2,0.3,12012022,18.049999237060547,-0.2880636883157534,56.9956756663692,23.836842811153282,23.099999999999998,12,Dec,6.56,-20.27,,USD,Small
LI SBF,-7,-0.013464991023339349,21.98,78.0,13.0671,"1,019",712.0,1731.0,3.23,FR,KLEPIERRE,REITS,REITS,6365449494.165171,66.65751,1.7869,17.0,21.69,-1.3193812556869844,0.0,0.0,01011970,20.350000381469727,0.14161649805876114,50.900498306390475,26.158174063896073,0.0,1,Jan,0.0,68.21,,EUR,Medium
LAC,79,0.0609548167092924,24.89,55.0,7.5089999999999995,413,956.0,1369.0,2.45,CA,LITHIUM AMERICAS CORP,Basic Materials,Lithium producers,3359543051.4622626,,1.29267,7.0,37.0,48.65407794294897,0.0,0.0,01011970,24.8799991607666,-0.14526101364441976,96.54637696385392,58.2754745601415,0.0,1,Jan,0.0,231.47,,USD,Small
EQX,7,0.04142011834319529,3.52,50.0,6.187,309,-133.0,176.0,0.32,CA,EQUINOX GOLD CORP,Basic Materials,Gold Miners,1073799946.8442254,0.0,0.78764,1.0,3.75,6.534090909090909,0.0,0.0,01011970,3.3199999332427983,-0.4792899584587382,90.18054069508005,41.183871275105965,0.0,1,Jan,0.0,-43.11,,USD,Micro
COIN,7,0.05752725585710981,45.59,3.0,221.74200000000002,665,-528.0,137.0,0.25,US,COINBASE GLOBAL INC -CLASS A,Financial,Bitcoin,10347362779.239023,,,25.0,76.72,68.28251809607369,0.0,0.0,01011970,66.25,-0.8193525344451887,191.45133136078343,58.913156363897144,0.0,1,Jan,0.0,-79.44,,USD,Micro
GRPN,20,0.029666254635352312,8.33,85.0,7.148,608,101.0,708.0,1.27,US,GROUPON INC,Communications,Internet,253543368.753214,,1.92987,4.0,11.38,36.614645858343344,0.0,0.0,01011970,7.369999885559082,-0.6403281496165125,96.32952694797798,54.54941422708227,0.0,1,Jan,0.0,16.54,,USD,Small
