Financial Instrument,Daily P&L,Change %,Last,Position,Avg Price,Cost Basis,Unrealized P&L,Market Value,% of Net Liq,Issuer Country ,Company Name,Sector,Industry,Market Cap,Payout ratio %,Beta          ,Number of Targets,Average Price Target,Analyst Target/Price Disparity %,Dividends,Dividend Amount,Dividend Date,Prior Month Close,Year To Date Change%,52 Week HV High,52 Week HV Low,Next_div_receiveable,Date,Month,Dividend yield %,PnL %,REIT sector,CCY,Position_Size
VOD,7,0.0098920863309352,11.23,66.0,13.764000000000001,908,-167.0,741.0,1.33,GB,VODAFONE GROUP PLC-SP ADR,Communications,Telecommunications,30433258363.778637,120.4042,0.75583,2.0,17.01,51.4692787177204,0.977,0.467,05242023,11.8100004196167,-0.2258802607135846,37.00697000732466,20.50795940591476,30.822000000000003,5,May,8.7,-18.41,,USD,Small
VNA IBIS,8,0.004201680672268967,23.9,75.0,32.775999999999996,"2,458",-666.0,1793.0,3.34,DE,VONOVIA SE,REITS,REITS,19020815000.0,76.87249,0.60952,21.0,38.69,61.88284518828452,1.66,1.66,04192023,,,,,124.5,4,Apr,6.95,-27.08,,EUR,Medium
DIC IBIS,-2,-0.0013227513227512945,7.55,233.0,12.103,"2,820",-1061.0,1759.0,3.28,DE,DIC ASSET AG,REITS,REITS,627800376.3227514,184.0242,1.11428,9.0,14.22,88.34437086092717,0.75,0.75,03282023,6.980000019073486,-0.4837218671823394,45.95717661583992,20.01886560561977,174.75,3,Mar,9.93,-37.62,,EUR,Medium
KGC,118,0.022556390977443573,4.08,1306.0,4.8919999999999995,"6,388",-1060.0,5328.0,9.55,CA,KINROSS GOLD CORP,Basic Materials,Gold Miners,5124426200.336686,114.1907,0.9535399999999999,15.0,5.28,29.41176470588236,0.12,0.03,03082023,3.630000114440918,-0.2829298406182084,59.50749655030965,35.65271448465912,39.18,3,Mar,2.94,-16.6,,USD,Large
MAC,2,0.0015420200462605686,12.99,115.0,7.646,879,615.0,1494.0,2.68,US,MACERICH CO/THE,REITS,REITS,2790053645.5197067,,2.10268,12.0,11.63,-10.469591993841412,0.68,0.17,02172023,11.130000114440918,-0.2212883950322541,62.011381228700294,37.24096092617082,19.55,2,Feb,5.23,69.89,Malls,USD,Small
UMH,3,0.0039908779931585115,17.61,48.0,13.450999999999999,646,200.0,845.0,1.52,US,UMH PROPERTIES INC,REITS,REITS,981497399.9815958,,1.23604,7.0,21.5,22.089721749006248,0.8,0.2,02142023,17.540000915527347,-0.33658321567071997,36.17562290740845,21.141986533791272,9.600000000000001,2,Feb,4.54,30.92,Residential,USD,Small
ENB,14,0.01052373959862946,41.29,33.0,30.631999999999998,"1,011",352.0,1363.0,2.44,CA,ENBRIDGE INC,Energy,Midstream Oil,83604814894.1238,125.8734,0.92205,7.0,59.49,44.078469363041904,2.528,0.632,02142023,38.95000076293945,0.10722576768537792,29.799943259992553,16.032618074627784,20.856,2,Feb,6.12,34.79,Specialty,USD,Small
WES,9,0.006836991723641644,27.98,45.0,8.719,392,867.0,1259.0,2.26,US,WESTERN MIDSTREAM PARTNERS L,Energy,Midstream Oil,10774253087.492977,61.278180000000006,2.8191599999999997,12.0,32.75,17.04789135096497,2.0,0.5,01302023,28.709999084472656,0.3245158168619594,52.07933825743096,34.939316430712125,22.5,1,Jan,7.15,220.91,,USD,Small
BYG LSE,-2,-0.007285974499089099,1090.0,25.0,1116.5,279,-7.0,273.0,0.58,GB,BIG YELLOW GROUP PLC,REITS,REITS,2007953724.9544625,17.80039,0.58786,16.0,1336.31,22.597247706422014,0.446,0.223,01052023,,,,,5.575,1,Jan,0.04,-2.37,,GBP,Micro
BRX,6,0.005639913232104078,23.18,43.0,11.716,504,493.0,997.0,1.79,US,BRIXMOR PROPERTY GROUP INC,REITS,REITS,6951986800.419937,88.60777,1.5447600000000001,16.0,23.7,2.243313201035374,1.04,0.26,01032023,21.309999465942386,-0.047615119454088084,39.396400645319815,21.5958390278846,11.18,1,Jan,4.49,97.85,Shopping Center,USD,Small
FPI,7,0.009118541033434726,13.28,60.0,12.137,728,68.0,796.0,1.43,US,FARMLAND PARTNERS INC,REITS,REITS,724330975.518531,38.36807,0.784,5.0,15.6,17.469879518072293,0.24100000000000002,0.06,12302022,14.010000228881836,0.12559546285684087,39.82850397401765,21.222946770771962,3.5999999999999996,12,Dec,1.81,9.42,,USD,Small
