Dividends,Header,Currency,Date,Description,Amount
Dividends,Data,USD,4/15/2021,SRC(US84860W3007) Cash Dividend USD 0.625 per Share (Ordinary Dividend),40
Dividends,Data,USD,4/15/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,4/15/2021,STOR(US8621211007) Cash Dividend USD 0.36 per Share (Ordinary Dividend),29.16
Dividends,Data,USD,4/16/2021,UNIT(US91325V1089) Cash Dividend USD 0.15 per Share (Ordinary Dividend),11.4
Dividends,Data,USD,4/23/2021,IRT(US45378A1060) Cash Dividend USD 0.12 per Share (Ordinary Dividend),12.96
Dividends,Data,USD,4/23/2021,SPG(US8288061091) Cash Dividend USD 1.30 per Share (Ordinary Dividend),15.6
Dividends,Data,USD,4/30/2021,EOG(US26875P1012) Cash Dividend USD 0.4125 per Share (Ordinary Dividend),15.26
Dividends,Data,USD,4/30/2021,MO(US02209S1033) Cash Dividend USD 0.86 per Share (Ordinary Dividend),30.96
Dividends,Data,USD,5/14/2021,KOF(US1912411089) Cash Dividend USD 1.244167 per Share (Ordinary Dividend),6.23
Dividends,Data,USD,5/14/2021,WES(US9586691035) Cash Dividend USD 0.315 per Share (Limited Partnership),17.64
Dividends,Data,USD,5/17/2021,SQM(US8336351056) Cash Dividend USD 0.015438 per Share (Ordinary Dividend),0.19
Dividends,Data,USD,5/17/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,5/21/2021,ACC(US0248351001) Cash Dividend USD 0.47 per Share (Ordinary Dividend),7.99
Dividends,Data,USD,6/1/2021,ENB (CA29250N1050) Cash Dividend USD 0.693174 (Ordinary Dividend),28.43
Dividends,Data,USD,6/3/2021,MAC(US5543821012) Cash Dividend USD 0.15 per Share (Ordinary Dividend),15.75
Dividends,Data,USD,6/11/2021,WBA(US9314271084) Cash Dividend USD 0.4675 per Share (Ordinary Dividend),8.88
Dividends,Data,USD,6/15/2021,O(US7561091049) Cash Dividend USD 0.235 per Share (Ordinary Dividend),1.88
Dividends,Data,USD,6/15/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,6/15/2021,UMH(US9030021037) Cash Dividend USD 0.19 per Share (Ordinary Dividend),9.12
Dividends,Data,USD,6/21/2021,SQM(US8336351056) Cash Dividend USD 0.240423 per Share (Ordinary Dividend),2.89
Dividends,Data,USD,6/30/2021,BTG(CA11777Q2099) Cash Dividend USD 0.04 per Share (Ordinary Dividend),10.8
Dividends,Data,USD,7/2/2021,UNIT(US91325V1089) Cash Dividend USD 0.15 per Share (Ordinary Dividend),12.75
Dividends,Data,USD,7/8/2021,MPW(US58463J3041) Cash Dividend USD 0.28 per Share (Ordinary Dividend),29.12
Dividends,Data,USD,7/8/2021,VICI(US9256521090) Cash Dividend USD 0.33 per Share (Ordinary Dividend),7.26
Dividends,Data,USD,7/9/2021,MO(US02209S1033) Cash Dividend USD 0.86 per Share (Ordinary Dividend),30.96
Dividends,Data,USD,7/15/2021,BRX(US11120U1051) Cash Dividend USD 0.215 per Share (Ordinary Dividend),9.25
Dividends,Data,USD,7/15/2021,O(US7561091049) Cash Dividend USD 0.2355 per Share (Ordinary Dividend),1.88
Dividends,Data,USD,7/15/2021,SRC(US84860W3007) Cash Dividend USD 0.625 per Share (Ordinary Dividend),40
Dividends,Data,USD,7/15/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,7/15/2021,STOR(US8621211007) Cash Dividend USD 0.36 per Share (Ordinary Dividend),31.68
Dividends,Data,USD,7/15/2021,WPC(US92936U1097) Cash Dividend USD 1.05 per Share (Ordinary Dividend),7.35
Dividends,Data,USD,7/23/2021,IRT(US45378A1060) Cash Dividend USD 0.12 per Share (Ordinary Dividend),12.96
Dividends,Data,USD,7/23/2021,SPG(US8288061091) Cash Dividend USD 1.40 per Share (Ordinary Dividend),16.8
Dividends,Data,USD,7/30/2021,EOG(US26875P1012) Cash Dividend USD 1.4125 per Share (Mixed Income),52.26
Dividends,Data,USD,8/6/2021,VOD(US92857W3088) Cash Dividend USD 0.532412 per Share (Ordinary Dividend),35.12
Dividends,Data,USD,8/13/2021,O(US7561091049) Cash Dividend USD 0.2355 per Share (Ordinary Dividend),1.88
Dividends,Data,USD,8/13/2021,WES(US9586691035) Cash Dividend USD 0.319 per Share (Limited Partnership),17.86
Dividends,Data,USD,8/16/2021,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),4.75
Dividends,Data,USD,8/16/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,8/27/2021,ACC(US0248351001) Cash Dividend USD 0.47 per Share (Ordinary Dividend),7.99
Dividends,Data,USD,9/1/2021,ENB (CA29250N1050) Cash Dividend USD 0.662168 (Ordinary Dividend),27.15
Dividends,Data,USD,9/2/2021,KGC(CA4969024047) Cash Dividend USD 0.03 per Share (Ordinary Dividend),6.27
Dividends,Data,USD,9/8/2021,MAC(US5543821012) Cash Dividend USD 0.15 per Share (Ordinary Dividend),15.75
Dividends,Data,USD,9/10/2021,WBA(US9314271084) Cash Dividend USD 0.4775 per Share (Ordinary Dividend),9.07
Dividends,Data,USD,9/15/2021,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),4.75
Dividends,Data,USD,9/15/2021,O(US7561091049) Cash Dividend USD 0.2355 per Share (Ordinary Dividend),1.88
Dividends,Data,USD,9/15/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,9/15/2021,UMH(US9030021037) Cash Dividend USD 0.19 per Share (Ordinary Dividend),9.12
Dividends,Data,USD,9/17/2021,SQM(12374) Cash Dividend USD 0.310673 per Share (Ordinary Dividend),3.72
Dividends,Data,USD,9/29/2021,BTG(CA11777Q2099) Cash Dividend USD 0.04 per Share (Ordinary Dividend),18.12
Dividends,Data,USD,9/30/2021,AGI (CA0115321089) Cash Dividend USD 0.025 (Ordinary Dividend),2.8
Dividends,Data,USD,9/30/2021,SPG(US8288061091) Cash Dividend USD 1.50 per Share (Ordinary Dividend),18
Dividends,Data,USD,10/1/2021,UNIT(US91325V1089) Cash Dividend USD 0.15 per Share (Ordinary Dividend),12.75
Dividends,Data,USD,10/7/2021,VICI(US9256521090) Cash Dividend USD 0.36 per Share (Ordinary Dividend),24.12
Dividends,Data,USD,10/12/2021,MO(US02209S1033) Cash Dividend USD 0.90 per Share (Ordinary Dividend),32.4
Dividends,Data,USD,10/14/2021,MPW(US58463J3041) Cash Dividend USD 0.28 per Share (Ordinary Dividend),37.52
Dividends,Data,USD,10/15/2021,BRX(US11120U1051) Cash Dividend USD 0.215 per Share (Ordinary Dividend),9.25
Dividends,Data,USD,10/15/2021,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),6.25
Dividends,Data,USD,10/15/2021,O(US7561091049) Cash Dividend USD 0.236 per Share (Ordinary Dividend),1.89
Dividends,Data,USD,10/15/2021,SRC(US84860W3007) Cash Dividend USD 0.638 per Share (Ordinary Dividend),6.38
Dividends,Data,USD,10/15/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,10/15/2021,STOR(US8621211007) Cash Dividend USD 0.385 per Share (Ordinary Dividend),33.88
Dividends,Data,USD,10/15/2021,WPC(US92936U1097) Cash Dividend USD 1.052 per Share (Ordinary Dividend),7.36
Dividends,Data,USD,10/22/2021,IRT(US45378A1060) Cash Dividend USD 0.12 per Share (Ordinary Dividend),12.96
Dividends,Data,USD,10/29/2021,EOG(US26875P1012) Cash Dividend USD 0.4125 per Share (Ordinary Dividend),11.14
Dividends,Data,USD,11/12/2021,WES(US9586691035) Cash Dividend USD 0.323 per Share (Limited Partnership),18.09
Dividends,Data,USD,11/15/2021,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),6.25
Dividends,Data,USD,11/15/2021,KOF(US1912411089) Cash Dividend USD 1.222677 per Share (Exempt From Withholding),6.12
Dividends,Data,USD,11/15/2021,O(US7561091049) Cash Dividend USD 0.236 per Share (Ordinary Dividend),1.89
Dividends,Data,USD,11/15/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,11/26/2021,ACC(US0248351001) Cash Dividend USD 0.47 per Share (Ordinary Dividend),7.99
Dividends,Data,USD,12/1/2021,ENB(CA29250N1050) Cash Dividend USD 0.650971 per Share (Ordinary Dividend),26.7
Dividends,Data,USD,12/3/2021,MAC(US5543821012) Cash Dividend USD 0.15 per Share (Ordinary Dividend),15.75
Dividends,Data,USD,12/15/2021,EPR(US26884U1097) Cash Dividend USD 0.25 per Share (Ordinary Dividend),6.25
Dividends,Data,USD,12/15/2021,KGC(CA4969024047) Cash Dividend USD 0.03 per Share (Ordinary Dividend),13.32
Dividends,Data,USD,12/15/2021,O(US7561091049) Cash Dividend USD 0.246 per Share (Ordinary Dividend),1.97
Dividends,Data,USD,12/15/2021,STAG(US85254J1025) Cash Dividend USD 0.120833 per Share (Ordinary Dividend),2.05
Dividends,Data,USD,12/15/2021,UMH(US9030021037) Cash Dividend USD 0.19 per Share (Ordinary Dividend),9.12
Dividends,Data,USD,12/17/2021,BTG(CA11777Q2099) Cash Dividend USD 0.04 per Share (Ordinary Dividend),35.84
Dividends,Data,USD,12/21/2021,AGI (CA0115321089) Cash Dividend USD 0.025 (Ordinary Dividend),5.3
Dividends,Data,USD,12/30/2021,EOG(US26875P1012) Cash Dividend USD 2.00 per Share (Bonus Dividend),40
Dividends,Data,USD,12/31/2021,SPG(US8288061091) Cash Dividend USD 1.65 per Share (Ordinary Dividend),19.8
Dividends,Data,CAD,1/10/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,1/17/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,2/7/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.08 per Share (Ordinary Dividend),2.08
Dividends,Data,CAD,2/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,3/7/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,3/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.0834 per Share (Ordinary Dividend),0.92
Dividends,Data,CAD,3/31/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,4/7/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,4/18/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,CAD,4/29/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,5/6/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,5/16/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,CAD,5/31/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,6/7/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,6/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
Dividends,Data,CAD,6/30/2022,NET.UN(CA13639A1093) Cash Dividend CAD 0.0283 per Share (Ordinary Dividend),1.98
Dividends,Data,CAD,7/8/2022,REI.UN(CA7669101031) Cash Dividend CAD 0.085 per Share (Ordinary Dividend),2.21
Dividends,Data,CAD,7/15/2022,BEI.UN(CA0966311064) Cash Dividend CAD 0.09 per Share (Ordinary Dividend),0.99
